t[s]	U[V]	I[A]	Piro[°C]	TC-K[°C]
 19,480	  4,346	  6,738	1065,222	882,693
 19,490	  4,340	  6,735	1065,121	882,693
 19,500	  4,335	  6,731	1065,117	882,693
 19,510	  4,324	  6,727	1065,105	882,693
 19,520	  4,299	  6,728	1065,104	882,693
 19,530	  4,291	  6,728	1065,103	882,693
 19,540	  4,300	  6,720	1065,118	882,693
 19,550	  4,306	  6,718	1065,126	882,693
 19,560	  4,340	  6,712	1065,126	882,673
 19,570	  4,314	  6,714	1065,128	882,670
 19,580	  4,351	  6,719	1065,168	882,693
 19,590	  4,357	  6,720	1065,172	882,693
 19,600	  4,311	  6,721	1065,186	882,693
 19,610	  4,313	  6,723	1065,073	882,693
 19,620	  4,314	  6,725	1064,910	882,693
 19,630	  4,324	  6,726	1064,921	882,693
 19,640	  4,327	  6,726	1064,928	882,693
 19,650	  4,327	  6,732	1064,855	882,693
 19,660	  4,325	  6,731	1064,836	882,693
 19,670	  4,316	  6,729	1064,843	882,693
 19,680	  4,309	  6,727	1064,844	882,693
 19,690	  4,314	  6,723	1064,847	882,693
 19,700	  4,314	  6,718	1064,841	882,693
 19,710	  4,324	  6,715	1064,830	882,693
 19,720	  4,324	  6,718	1064,704	882,693
 19,730	  4,324	  6,719	1064,601	882,693
 19,740	  4,326	  6,704	1064,532	882,693
 19,750	  4,327	  6,703	1064,508	882,693
 19,760	  4,311	  6,704	1064,566	882,693
 19,770	  4,326	  6,706	1064,592	882,693
 19,780	  4,317	  6,710	1064,752	882,693
 19,790	  4,325	  6,713	1064,578	882,686
 19,800	  4,330	  6,716	1064,191	882,669
 19,810	  4,324	  6,716	1064,167	882,681
 19,820	  4,330	  6,716	1064,142	882,693
 19,830	  4,319	  6,719	1064,244	882,677
 19,840	  4,315	  6,720	1064,290	882,669
 19,850	  4,318	  6,721	1064,309	882,669
 19,860	  4,312	  6,721	1064,298	882,671
 19,870	  4,315	  6,720	1064,111	882,693
 19,880	  4,317	  6,713	1064,116	882,693
 19,890	  4,324	  6,704	1064,128	882,693
 19,900	  4,319	  6,708	1064,116	882,693
 19,910	  4,325	  6,711	1064,100	882,693
 19,920	  4,320	  6,701	1064,197	882,678
 19,930	  4,315	  6,699	1064,251	882,669
 19,940	  4,317	  6,692	1064,297	882,689
 19,950	  4,319	  6,693	1064,302	882,693
 19,960	  4,328	  6,697	1064,123	882,693
 19,970	  4,334	  6,699	1064,095	882,693
 19,980	  4,344	  6,702	1063,990	882,693
 19,990	  4,317	  6,699	1064,067	882,684
 20,000	  4,315	  6,697	1064,182	882,669
 20,010	  4,305	  6,706	1064,160	882,683
 20,020	  4,306	  6,708	1064,144	882,693
 20,030	  4,327	  6,704	1064,030	882,693
 20,040	  4,318	  6,704	1063,997	882,693
 20,050	  4,335	  6,705	1064,221	882,693
 20,060	  4,328	  6,704	1064,234	882,690
 20,070	  4,321	  6,703	1064,270	882,669
 20,080	  4,310	  6,699	1064,262	882,678
 20,090	  4,314	  6,695	1064,249	882,693
 20,100	  4,315	  6,698	1064,070	882,693
 20,110	  4,307	  6,699	1063,918	882,693
 20,120	  4,331	  6,687	1063,762	882,693
 20,130	  4,317	  6,686	1063,704	882,693
 20,140	  4,331	  6,684	1063,666	882,671
 20,150	  4,330	  6,686	1063,667	882,672
 20,160	  4,322	  6,690	1063,703	882,693
 20,170	  4,323	  6,690	1063,690	882,693
 20,180	  4,321	  6,690	1063,659	882,693
 20,190	  4,293	  6,693	1063,679	882,693
 20,200	  4,319	  6,694	1063,699	882,693
 20,210	  4,314	  6,699	1063,527	882,693
 20,220	  4,326	  6,700	1063,447	882,693
 20,230	  4,348	  6,701	1063,466	882,672
 20,240	  4,310	  6,700	1063,468	882,670
 20,250	  4,330	  6,695	1063,462	882,693
 20,260	  4,310	  6,691	1063,520	882,693
 20,270	  4,300	  6,685	1063,694	882,693
 20,280	  4,330	  6,687	1063,581	882,693
 20,290	  4,301	  6,689	1063,436	882,693
 20,300	  4,344	  6,685	1063,405	882,693
 20,310	  4,336	  6,684	1063,387	882,693
 20,320	  4,331	  6,675	1063,245	882,693
 20,330	  4,337	  6,675	1063,213	882,693
 20,340	  4,311	  6,677	1063,132	882,693
 20,350	  4,294	  6,680	1063,186	882,693
 20,360	  4,306	  6,685	1063,403	882,693
 20,370	  4,293	  6,682	1063,330	882,693
 20,380	  4,325	  6,680	1063,215	882,693
 20,390	  4,347	  6,685	1063,177	882,679
 20,400	  4,326	  6,686	1063,150	882,669
 20,410	  4,341	  6,690	1063,092	882,688
 20,420	  4,323	  6,690	1063,074	882,693
 20,430	  4,305	  6,686	1063,138	882,693
 20,440	  4,325	  6,683	1063,133	882,693
 20,450	  4,310	  6,679	1063,089	882,693
 20,460	  4,314	  6,679	1063,113	882,693
 20,470	  4,324	  6,680	1063,160	882,693
 20,480	  4,309	  6,676	1063,162	882,680
 20,490	  4,332	  6,675	1063,163	882,669
 20,500	  4,315	  6,665	1063,055	882,687
 20,510	  4,318	  6,664	1063,012	882,693
 20,520	  4,333	  6,669	1062,891	882,671
 20,530	  4,318	  6,671	1062,888	882,671
 20,540	  4,326	  6,676	1062,964	882,693
 20,550	  4,323	  6,675	1062,919	882,693
 20,560	  4,318	  6,674	1062,809	882,693
 20,570	  4,323	  6,675	1062,750	882,693
 20,580	  4,324	  6,676	1062,686	882,693
 20,590	  4,320	  6,679	1062,662	882,693
 20,600	  4,324	  6,679	1062,649	882,693
 20,610	  4,312	  6,678	1062,857	882,693
 20,620	  4,331	  6,678	1062,864	882,693
 20,630	  4,325	  6,676	1062,338	882,693
 20,640	  4,327	  6,672	1062,393	882,693
 20,650	  4,327	  6,666	1062,568	882,693
 20,660	  4,318	  6,666	1062,670	882,693
 20,670	  4,323	  6,667	1062,807	882,693
 20,680	  4,314	  6,668	1062,662	882,693
 20,690	  4,318	  6,668	1062,573	882,693
 20,700	  4,327	  6,653	1062,560	882,693
 20,710	  4,317	  6,654	1062,558	882,693
 20,720	  4,318	  6,657	1062,287	882,693
 20,730	  4,328	  6,662	1062,234	882,693
 20,740	  4,311	  6,670	1062,007	882,693
 20,750	  4,326	  6,666	1062,232	882,684
 20,760	  4,321	  6,664	1062,599	882,669
 20,770	  4,315	  6,664	1062,404	882,669
 20,780	  4,331	  6,665	1062,257	882,669
 20,790	  4,312	  6,674	1062,301	882,688
 20,800	  4,324	  6,674	1062,315	882,693
 20,810	  4,327	  6,668	1062,071	882,693
 20,820	  4,311	  6,665	1062,085	882,690
 20,830	  4,327	  6,659	1062,252	882,669
 20,840	  4,308	  6,661	1062,254	882,677
 20,850	  4,320	  6,662	1062,258	882,693
 20,860	  4,323	  6,660	1062,264	882,693
 20,870	  4,323	  6,659	1062,271	882,693
 20,880	  4,326	  6,650	1062,275	882,676
 20,890	  4,329	  6,649	1062,276	882,669
 20,900	  4,315	  6,646	1062,235	882,669
 20,910	  4,323	  6,648	1062,234	882,671
 20,920	  4,312	  6,651	1062,271	882,693
 20,930	  4,323	  6,655	1062,285	882,693
 20,940	  4,318	  6,659	1062,323	882,693
 20,950	  4,324	  6,659	1062,317	882,693
 20,960	  4,326	  6,659	1062,310	882,693
 20,970	  4,319	  6,661	1062,131	882,693
 20,980	  4,320	  6,662	1062,038	882,693
 20,990	  4,315	  6,667	1062,191	882,673
 21,000	  4,319	  6,665	1062,210	882,669
 21,010	  4,313	  6,659	1062,023	882,669
 21,020	  4,317	  6,657	1062,076	882,669
 21,030	  4,319	  6,654	1062,255	882,669
 21,040	  4,322	  6,654	1062,213	882,679
 21,050	  4,326	  6,654	1062,155	882,693
 21,060	  4,318	  6,644	1062,259	882,679
 21,070	  4,322	  6,642	1062,325	882,669
 21,080	  4,320	  6,640	1062,210	882,689
 21,090	  4,328	  6,641	1062,181	882,693
 21,100	  4,323	  6,643	1062,321	882,693
 21,110	  4,318	  6,644	1062,294	882,693
 21,120	  4,328	  6,648	1062,164	882,693
 21,130	  4,317	  6,645	1062,192	882,693
 21,140	  4,326	  6,643	1062,240	882,693
 21,150	  4,315	  6,646	1062,149	882,680
 21,160	  4,321	  6,647	1062,078	882,669
 21,170	  4,320	  6,660	1062,098	882,687
 21,180	  4,323	  6,660	1062,104	882,693
 21,190	  4,324	  6,654	1062,068	882,693
 21,200	  4,330	  6,650	1062,059	882,693
 21,210	  4,321	  6,643	1062,017	882,693
 21,220	  4,328	  6,642	1062,017	882,693
 21,230	  4,317	  6,641	1062,017	882,693
 21,240	  4,322	  6,638	1062,030	882,693
 21,250	  4,318	  6,637	1062,042	882,693
 21,260	  4,322	  6,633	1062,197	882,693
 21,270	  4,317	  6,632	1062,263	882,693
 21,280	  4,326	  6,629	1062,023	882,693
 21,290	  4,317	  6,630	1061,995	882,691
 21,300	  4,322	  6,633	1062,013	882,669
 21,310	  4,315	  6,637	1062,012	882,676
 21,320	  4,328	  6,641	1062,007	882,693
 21,330	  4,326	  6,641	1061,884	882,693
 21,340	  4,328	  6,641	1061,740	882,693
 21,350	  4,322	  6,642	1061,571	882,678
 21,360	  4,323	  6,642	1061,479	882,669
 21,370	  4,315	  6,646	1061,431	882,690
 21,380	  4,325	  6,644	1061,417	882,693
 21,390	  4,312	  6,639	1061,253	882,669
 21,400	  4,323	  6,637	1061,245	882,674
 21,410	  4,324	  6,634	1061,213	882,693
 21,420	  4,322	  6,635	1061,332	882,693
 21,430	  4,325	  6,635	1061,503	882,693
 21,440	  4,327	  6,630	1061,472	882,693
 21,450	  4,329	  6,628	1061,451	882,693
 21,460	  4,327	  6,619	1061,410	882,693
 21,470	  4,316	  6,619	1061,400	882,693
 21,480	  4,317	  6,618	1061,278	882,693
 21,490	  4,322	  6,621	1061,222	882,693
 21,500	  4,321	  6,627	1060,964	882,693
 21,510	  4,320	  6,624	1060,791	882,693
 21,520	  4,315	  6,623	1060,483	882,693
 21,530	  4,331	  6,630	1060,598	882,693
 21,540	  4,325	  6,632	1060,692	882,693
 21,550	  4,328	  6,637	1060,715	882,693
 21,560	  4,322	  6,638	1060,723	882,693
 21,570	  4,321	  6,639	1060,688	882,693
 21,580	  4,319	  6,634	1060,697	882,693
 21,590	  4,318	  6,624	1060,784	882,693
 21,600	  4,322	  6,620	1060,779	882,693
 21,610	  4,321	  6,617	1060,766	882,693
 21,620	  4,317	  6,621	1060,539	882,693
 21,630	  4,322	  6,623	1060,312	882,693
 21,640	  4,327	  6,611	1060,504	882,693
 21,650	  4,331	  6,610	1060,590	882,693
 21,660	  4,320	  6,606	1060,197	882,693
 21,670	  4,323	  6,608	1060,156	882,693
 21,680	  4,323	  6,614	1060,330	882,693
 21,690	  4,323	  6,615	1060,327	882,693
 21,700	  4,316	  6,617	1060,319	882,693
 21,710	  4,325	  6,619	1060,283	882,682
 21,720	  4,315	  6,620	1060,239	882,669
 21,730	  4,329	  6,627	1060,269	882,669
 21,740	  4,320	  6,629	1060,285	882,669
 21,750	  4,325	  6,624	1060,280	882,689
 21,760	  4,322	  6,624	1060,281	882,693
 21,770	  4,326	  6,622	1060,347	882,693
 21,780	  4,324	  6,619	1060,345	882,693
 21,790	  4,327	  6,615	1060,337	882,693
 21,800	  4,320	  6,611	1060,324	882,693
 21,810	  4,321	  6,608	1060,304	882,693
 21,820	  4,325	  6,607	1060,319	882,693
 21,830	  4,321	  6,607	1060,329	882,693
 21,840	  4,321	  6,601	1060,277	882,693
 21,850	  4,321	  6,602	1060,262	882,693
 21,860	  4,320	  6,603	1060,307	882,670
 21,870	  4,322	  6,607	1060,259	882,673
 21,880	  4,327	  6,613	1059,998	882,693
 21,890	  4,331	  6,613	1060,091	882,685
 21,900	  4,319	  6,612	1060,265	882,669
 21,910	  4,318	  6,615	1060,137	882,682
 21,920	  4,319	  6,616	1060,028	882,693
 21,930	  4,324	  6,621	1060,003	882,693
 21,940	  4,320	  6,622	1059,994	882,693
 21,950	  4,317	  6,618	1059,771	882,671
 21,960	  4,322	  6,615	1059,785	882,669
 21,970	  4,321	  6,608	1060,053	882,669
 21,980	  4,323	  6,608	1059,954	882,676
 21,990	  4,323	  6,607	1059,723	882,693
 22,000	  4,319	  6,605	1059,711	882,681
 22,010	  4,327	  6,604	1059,697	882,669
 22,020	  4,324	  6,597	1059,854	882,686
 22,030	  4,317	  6,596	1059,927	882,693
 22,040	  4,324	  6,596	1059,637	882,672
 22,050	  4,309	  6,596	1059,580	882,669
 22,060	  4,317	  6,594	1059,374	882,669
 22,070	  4,322	  6,598	1059,404	882,669
 22,080	  4,318	  6,603	1059,495	882,669
 22,090	  4,324	  6,605	1059,491	882,680
 22,100	  4,319	  6,606	1059,487	882,693
 22,110	  4,323	  6,613	1059,575	882,678
 22,120	  4,322	  6,614	1059,628	882,669
 22,130	  4,319	  6,607	1059,543	882,689
 22,140	  4,319	  6,606	1059,523	882,693
 22,150	  4,317	  6,602	1059,449	882,693
 22,160	  4,321	  6,600	1059,396	882,693
 22,170	  4,316	  6,597	1059,186	882,693
 22,180	  4,317	  6,597	1059,299	882,684
 22,190	  4,313	  6,596	1059,475	882,669
 22,200	  4,324	  6,595	1059,288	882,669
 22,210	  4,320	  6,594	1059,152	882,669
 22,220	  4,319	  6,588	1059,212	882,688
 22,230	  4,321	  6,589	1059,230	882,693
 22,240	  4,321	  6,593	1058,989	882,693
 22,250	  4,321	  6,595	1058,984	882,690
 22,260	  4,312	  6,599	1059,016	882,669
 22,270	  4,316	  6,598	1058,976	882,677
 22,280	  4,318	  6,597	1058,899	882,693
 22,290	  4,316	  6,596	1058,988	882,693
 22,300	  4,323	  6,595	1059,067	882,693
 22,310	  4,318	  6,599	1058,855	882,676
 22,320	  4,324	  6,599	1058,773	882,669
 22,330	  4,327	  6,594	1058,934	882,669
 22,340	  4,321	  6,592	1058,937	882,671
 22,350	  4,321	  6,588	1058,817	882,693
 22,360	  4,327	  6,589	1058,823	882,693
 22,370	  4,320	  6,589	1058,837	882,693
 22,380	  4,323	  6,586	1058,860	882,693
 22,390	  4,320	  6,585	1058,886	882,693
 22,400	  4,319	  6,582	1058,883	882,677
 22,410	  4,319	  6,582	1058,882	882,669
 22,420	  4,317	  6,585	1058,380	882,690
 22,430	  4,321	  6,585	1058,326	882,693
 22,440	  4,330	  6,584	1058,850	882,693
 22,450	  4,323	  6,584	1058,856	882,688
 22,460	  4,325	  6,585	1058,876	882,669
 22,470	  4,320	  6,588	1058,887	882,680
 22,480	  4,325	  6,589	1058,901	882,693
 22,490	  4,320	  6,594	1058,563	882,693
 22,500	  4,320	  6,595	1058,356	882,693
 22,510	  4,322	  6,598	1058,790	882,674
 22,520	  4,323	  6,596	1058,891	882,669
 22,530	  4,318	  6,587	1058,327	882,693
 22,540	  4,315	  6,586	1058,336	882,689
 22,550	  4,321	  6,585	1058,375	882,669
 22,560	  4,325	  6,582	1058,342	882,678
 22,570	  4,326	  6,580	1058,288	882,693
 22,580	  4,322	  6,577	1058,127	882,680
 22,590	  4,320	  6,576	1058,006	882,669
 22,600	  4,322	  6,572	1058,239	882,669
 22,610	  4,319	  6,572	1058,313	882,669
 22,620	  4,324	  6,574	1058,151	882,692
 22,630	  4,320	  6,576	1058,122	882,693
 22,640	  4,322	  6,580	1057,994	882,693
 22,650	  4,320	  6,580	1058,090	882,693
 22,660	  4,322	  6,579	1058,284	882,693
 22,670	  4,321	  6,582	1058,228	882,681
 22,680	  4,325	  6,583	1058,177	882,669
 22,690	  4,325	  6,588	1058,290	882,686
 22,700	  4,326	  6,588	1058,336	882,693
 22,710	  4,326	  6,584	1058,190	882,693
 22,720	  4,317	  6,582	1058,161	882,693
 22,730	  4,317	  6,579	1058,026	882,693
 22,740	  4,319	  6,577	1058,066	882,693
 22,750	  4,317	  6,574	1058,168	882,693
 22,760	  4,328	  6,571	1058,098	882,682
 22,770	  4,322	  6,570	1058,019	882,669
 22,780	  4,323	  6,562	1058,192	882,685
 22,790	  4,331	  6,561	1058,281	882,693
 22,800	  4,324	  6,570	1058,137	882,693
 22,810	  4,331	  6,571	1058,112	882,692
 22,820	  4,318	  6,574	1058,110	882,669
 22,830	  4,316	  6,573	1058,146	882,675
 22,840	  4,323	  6,570	1058,268	882,693
 22,850	  4,317	  6,574	1058,232	882,693
 22,860	  4,326	  6,577	1058,183	882,693
 22,870	  4,321	  6,582	1058,086	882,693
 22,880	  4,321	  6,583	1058,025	882,693
 22,890	  4,326	  6,578	1058,063	882,693
 22,900	  4,319	  6,577	1058,073	882,693
 22,910	  4,325	  6,573	1058,302	882,693
 22,920	  4,321	  6,571	1058,303	882,689
 22,930	  4,324	  6,567	1058,298	882,669
 22,940	  4,322	  6,564	1058,165	882,669
 22,950	  4,324	  6,561	1057,939	882,669
 22,960	  4,318	  6,559	1057,818	882,669
 22,970	  4,324	  6,558	1057,723	882,669
 22,980	  4,310	  6,554	1057,980	882,687
 22,990	  4,325	  6,555	1058,066	882,693
 23,000	  4,322	  6,560	1057,964	882,693
 23,010	  4,325	  6,560	1057,892	882,693
 23,020	  4,326	  6,561	1057,455	882,693
 23,030	  4,327	  6,565	1057,527	882,693
 23,040	  4,323	  6,568	1057,681	882,693
 23,050	  4,326	  6,570	1057,708	882,693
 23,060	  4,313	  6,571	1057,733	882,693
 23,070	  4,325	  6,576	1057,325	882,693
 23,080	  4,315	  6,575	1057,150	882,693
 23,090	  4,318	  6,566	1057,633	882,693
 23,100	  4,320	  6,563	1057,652	882,691
 23,110	  4,321	  6,555	1057,183	882,669
 23,120	  4,324	  6,558	1057,244	882,676
 23,130	  4,328	  6,560	1057,411	882,693
 23,140	  4,324	  6,556	1057,420	882,693
 23,150	  4,328	  6,554	1057,431	882,693
 23,160	  4,316	  6,546	1057,554	882,678
 23,170	  4,322	  6,544	1057,621	882,669
 23,180	  4,320	  6,549	1057,295	882,690
 23,190	  4,319	  6,550	1057,242	882,693
 23,200	  4,322	  6,554	1057,550	882,669
 23,210	  4,320	  6,554	1057,497	882,669
 23,220	  4,321	  6,555	1057,309	882,669
 23,230	  4,327	  6,558	1057,287	882,669
 23,240	  4,319	  6,561	1057,254	882,669
 23,250	  4,324	  6,563	1057,215	882,684
 23,260	  4,326	  6,564	1057,189	882,693
 23,270	  4,327	  6,561	1057,340	882,674
 23,280	  4,317	  6,560	1057,380	882,669
 23,290	  4,319	  6,559	1057,293	882,669
 23,300	  4,319	  6,556	1057,204	882,669
 23,310	  4,324	  6,551	1056,773	882,669
 23,320	  4,322	  6,550	1056,798	882,669
 23,330	  4,319	  6,549	1056,841	882,669
 23,340	  4,321	  6,543	1056,827	882,682
 23,350	  4,322	  6,541	1056,815	882,693
 23,360	  4,323	  6,539	1056,704	882,657
 23,370	  4,315	  6,539	1056,665	882,645
 23,380	  4,330	  6,541	1056,857	882,690
 23,390	  4,318	  6,541	1056,879	882,693
 23,400	  4,328	  6,543	1056,932	882,693
 23,410	  4,321	  6,548	1056,774	882,686
 23,420	  4,314	  6,552	1056,424	882,669
 23,430	  4,319	  6,555	1056,372	882,669
 23,440	  4,322	  6,556	1056,320	882,669
 23,450	  4,320	  6,563	1056,705	882,669
 23,460	  4,321	  6,563	1056,878	882,669
 23,470	  4,323	  6,553	1056,661	882,669
 23,480	  4,323	  6,551	1056,648	882,671
 23,490	  4,323	  6,548	1056,863	882,693
 23,500	  4,324	  6,547	1056,767	882,693
 23,510	  4,324	  6,546	1056,491	882,693
 23,520	  4,319	  6,545	1056,513	882,693
 23,530	  4,315	  6,544	1056,538	882,693
 23,540	  4,315	  6,536	1056,561	882,678
 23,550	  4,317	  6,534	1056,573	882,669
 23,560	  4,327	  6,537	1056,269	882,689
 23,570	  4,320	  6,538	1056,208	882,693
 23,580	  4,330	  6,541	1056,290	882,669
 23,590	  4,330	  6,542	1056,290	882,669
 23,600	  4,322	  6,545	1056,292	882,669
 23,610	  4,324	  6,545	1056,398	882,669
 23,620	  4,317	  6,545	1056,558	882,669
 23,630	  4,324	  6,551	1056,372	882,683
 23,640	  4,319	  6,552	1056,243	882,693
 23,650	  4,321	  6,546	1056,283	882,693
 23,660	  4,319	  6,546	1056,294	882,693
 23,670	  4,321	  6,545	1056,288	882,693
 23,680	  4,321	  6,544	1056,290	882,693
 23,690	  4,322	  6,542	1056,303	882,693
 23,700	  4,327	  6,540	1056,268	882,685
 23,710	  4,320	  6,539	1056,202	882,669
 23,720	  4,325	  6,538	1056,236	882,682
 23,730	  4,319	  6,538	1056,266	882,693
 23,740	  4,320	  6,531	1056,296	882,693
 23,750	  4,323	  6,530	1056,307	882,693
 23,760	  4,312	  6,529	1056,180	882,671
 23,770	  4,318	  6,531	1056,169	882,672
 23,780	  4,322	  6,535	1056,171	882,693
 23,790	  4,324	  6,536	1056,199	882,693
 23,800	  4,320	  6,537	1056,264	882,693
 23,810	  4,328	  6,541	1056,208	882,693
 23,820	  4,323	  6,542	1056,150	882,693
 23,830	  4,321	  6,544	1055,912	882,693
 23,840	  4,317	  6,544	1055,800	882,693
 23,850	  4,318	  6,540	1055,989	882,693
 23,860	  4,320	  6,538	1056,002	882,692
 23,870	  4,321	  6,529	1055,760	882,669
 23,880	  4,315	  6,530	1055,779	882,669
 23,890	  4,321	  6,530	1055,839	882,669
 23,900	  4,324	  6,527	1055,849	882,669
 23,910	  4,324	  6,525	1055,861	882,669
 23,920	  4,324	  6,523	1055,905	882,684
 23,930	  4,325	  6,523	1055,932	882,693
 23,940	  4,324	  6,522	1055,764	882,693
 23,950	  4,327	  6,523	1055,726	882,693
 23,960	  4,318	  6,524	1055,606	882,669
 23,970	  4,324	  6,525	1055,622	882,669
 23,980	  4,313	  6,527	1055,684	882,669
 23,990	  4,316	  6,527	1055,678	882,669
 24,000	  4,320	  6,528	1055,668	882,669
 24,010	  4,318	  6,531	1055,701	882,669
 24,020	  4,325	  6,532	1055,724	882,669
 24,030	  4,320	  6,532	1055,603	882,688
 24,040	  4,322	  6,531	1055,566	882,693
 24,050	  4,328	  6,527	1055,651	882,693
 24,060	  4,323	  6,525	1055,575	882,693
 24,070	  4,326	  6,523	1055,129	882,693
 24,080	  4,316	  6,522	1055,205	882,693
 24,090	  4,316	  6,521	1055,353	882,693
 24,100	  4,319	  6,517	1055,365	882,680
 24,110	  4,320	  6,516	1055,377	882,669
 24,120	  4,318	  6,515	1055,406	882,687
 24,130	  4,321	  6,515	1055,417	882,693
 24,140	  4,319	  6,516	1055,095	882,693
 24,150	  4,325	  6,518	1055,070	882,693
 24,160	  4,320	  6,523	1055,135	882,693
 24,170	  4,318	  6,522	1055,122	882,686
 24,180	  4,328	  6,521	1055,091	882,669
 24,190	  4,320	  6,526	1055,097	882,681
 24,200	  4,321	  6,528	1055,104	882,693
 24,210	  4,320	  6,527	1055,274	882,677
 24,220	  4,315	  6,527	1055,358	882,669
 24,230	  4,320	  6,522	1055,165	882,690
 24,240	  4,315	  6,522	1055,134	882,692
 24,250	  4,323	  6,522	1055,141	882,669
 24,260	  4,326	  6,521	1055,200	882,669
 24,270	  4,322	  6,519	1055,387	882,669
 24,280	  4,324	  6,514	1055,269	882,669
 24,290	  4,323	  6,511	1055,113	882,669
 24,300	  4,320	  6,506	1054,934	882,669
 24,310	  4,321	  6,505	1054,824	882,669
 24,320	  4,315	  6,508	1054,841	882,689
 24,330	  4,318	  6,509	1054,845	882,693
 24,340	  4,318	  6,513	1054,999	882,669
 24,350	  4,316	  6,515	1055,027	882,674
 24,360	  4,319	  6,517	1055,142	882,693
 24,370	  4,320	  6,518	1055,119	882,693
 24,380	  4,328	  6,519	1055,081	882,693
 24,390	  4,322	  6,521	1055,035	882,693
 24,400	  4,315	  6,521	1055,000	882,693
 24,410	  4,319	  6,521	1054,791	882,675
 24,420	  4,323	  6,520	1054,725	882,669
 24,430	  4,319	  6,515	1054,932	882,669
 24,440	  4,320	  6,514	1054,919	882,669
 24,450	  4,317	  6,512	1054,769	882,669
 24,460	  4,319	  6,507	1054,797	882,669
 24,470	  4,318	  6,501	1054,852	882,669
 24,480	  4,325	  6,504	1054,850	882,669
 24,490	  4,317	  6,505	1054,847	882,669
 24,500	  4,332	  6,499	1054,796	882,669
 24,510	  4,322	  6,499	1054,776	882,669
 24,520	  4,323	  6,507	1054,813	882,669
 24,530	  4,320	  6,507	1054,787	882,671
 24,540	  4,317	  6,507	1054,481	882,693
 24,550	  4,317	  6,509	1054,433	882,693
 24,560	  4,323	  6,512	1054,309	882,693
 24,570	  4,323	  6,514	1054,432	882,682
 24,580	  4,321	  6,515	1054,572	882,669
 24,590	  4,326	  6,515	1054,374	882,685
 24,600	  4,321	  6,515	1054,273	882,693
 24,610	  4,319	  6,513	1054,238	882,673
 24,620	  4,324	  6,511	1054,233	882,669
 24,630	  4,320	  6,507	1054,273	882,669
 24,640	  4,323	  6,506	1054,328	882,675
 24,650	  4,321	  6,503	1054,511	882,693
 24,660	  4,326	  6,498	1054,419	882,683
 24,670	  4,321	  6,495	1054,291	882,669
 24,680	  4,322	  6,492	1054,245	882,669
 24,690	  4,323	  6,491	1054,216	882,669
 24,700	  4,325	  6,500	1054,436	882,689
 24,710	  4,328	  6,501	1054,491	882,693
 24,720	  4,322	  6,504	1053,974	882,669
 24,730	  4,323	  6,503	1054,020	882,669
 24,740	  4,326	  6,501	1054,254	882,669
 24,750	  4,328	  6,506	1054,267	882,678
 24,760	  4,318	  6,510	1054,288	882,693
 24,770	  4,320	  6,511	1054,253	882,680
 24,780	  4,317	  6,512	1054,225	882,669
 24,790	  4,320	  6,504	1054,266	882,687
 24,800	  4,324	  6,503	1054,280	882,693
 24,810	  4,325	  6,501	1053,973	882,670
 24,820	  4,327	  6,500	1053,955	882,669
 24,830	  4,322	  6,497	1053,963	882,669
 24,840	  4,327	  6,496	1054,034	882,669
 24,850	  4,321	  6,496	1054,183	882,669
 24,860	  4,324	  6,491	1054,206	882,681
 24,870	  4,322	  6,489	1054,227	882,693
 24,880	  4,320	  6,491	1054,196	882,676
 24,890	  4,319	  6,492	1054,183	882,669
 24,900	  4,316	  6,491	1054,248	882,669
 24,910	  4,316	  6,491	1054,241	882,669
 24,920	  4,320	  6,492	1054,072	882,669
 24,930	  4,326	  6,496	1054,099	882,669
 24,940	  4,321	  6,502	1054,172	882,669
 24,950	  4,326	  6,502	1054,133	882,669
 24,960	  4,326	  6,502	1054,086	882,669
 24,970	  4,315	  6,506	1054,095	882,669
 24,980	  4,331	  6,507	1054,100	882,669
 24,990	  4,312	  6,500	1054,064	882,669
 25,000	  4,319	  6,498	1054,057	882,668
 25,010	  4,313	  6,494	1054,073	882,645
 25,020	  4,320	  6,492	1054,049	882,655
 25,030	  4,319	  6,488	1053,965	882,693
 25,040	  4,317	  6,485	1053,947	882,683
 25,050	  4,320	  6,483	1053,920	882,669
 25,060	  4,331	  6,482	1054,046	882,654
 25,070	  4,328	  6,482	1054,130	882,645
 25,080	  4,329	  6,481	1054,264	882,683
 25,090	  4,321	  6,481	1054,300	882,693
 25,100	  4,317	  6,485	1053,950	882,670
 25,110	  4,321	  6,485	1053,972	882,673
 25,120	  4,316	  6,487	1054,113	882,693
 25,130	  4,317	  6,489	1054,115	882,685
 25,140	  4,325	  6,491	1054,118	882,669
 25,150	  4,314	  6,496	1054,057	882,669
 25,160	  4,331	  6,498	1054,008	882,669
 25,170	  4,327	  6,493	1054,003	882,669
 25,180	  4,332	  6,493	1054,001	882,669
 25,190	  4,325	  6,490	1053,993	882,669
 25,200	  4,321	  6,488	1053,992	882,672
 25,210	  4,323	  6,484	1053,989	882,693
 25,220	  4,321	  6,482	1054,081	882,693
 25,230	  4,317	  6,481	1054,287	882,693
 25,240	  4,319	  6,476	1054,267	882,681
 25,250	  4,322	  6,473	1054,247	882,669
 25,260	  4,325	  6,473	1054,217	882,669
 25,270	  4,321	  6,474	1054,203	882,669
 25,280	  4,322	  6,480	1054,245	882,669
 25,290	  4,320	  6,481	1054,231	882,669
