t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	644.5	705.1
0.0	9.34	16.2	705.1	644.5
0.01	10.55	18.24	704.9	644.9
0.02	10.84	18.68	704.9	644.7
0.03	10.91	18.78	704.8	644.6
0.04	10.95	18.8	705.0	644.8
0.05	10.97	18.8	704.9	644.7
0.06	10.98	18.78	705.0	644.7
0.07	10.99	18.77	704.9	644.8
0.08	11.01	18.76	704.8	644.6
0.09	11.02	18.76	705.2	644.6
0.1	11.03	18.73	704.9	644.6
0.11	11.02	18.7	705.0	644.7
0.12	11.02	18.68	705.0	644.8
0.13	11.03	18.66	705.1	644.8
0.14	11.04	18.64	705.0	644.7
0.15	11.03	18.61	705.0	644.8
0.16	11.03	18.59	705.0	644.8
0.17	11.04	18.57	704.9	644.4
0.18	11.03	18.54	704.8	645.0
0.19	11.03	18.52	705.0	644.7
0.2	11.04	18.51	705.0	644.7
0.21	11.04	18.49	705.0	644.8
0.22	11.04	18.48	704.8	644.9
0.23	11.04	18.44	705.0	644.8
0.24	11.04	18.42	704.8	644.5
0.25	11.04	18.4	704.9	644.8
0.26	11.03	18.37	705.0	644.8
0.27	11.04	18.36	705.0	644.9
0.28	11.03	18.33	704.9	644.6
0.29	11.03	18.32	705.1	644.6
0.3	11.02	18.29	705.1	644.7
0.31	11.04	18.28	705.0	644.7
0.32	11.03	18.27	705.0	644.9
0.33	11.03	18.24	705.0	644.7
0.34	11.04	18.23	704.8	644.6
0.35	11.04	18.21	705.1	644.8
0.36	11.04	18.19	705.2	644.6
0.37	11.04	18.17	705.0	644.6
0.38	11.03	18.14	704.9	644.7
0.39	11.03	18.11	705.0	644.8
0.4	11.03	18.1	704.9	644.8
0.41	11.03	18.08	705.0	644.7
0.42	11.03	18.07	704.9	644.7
0.43	11.04	18.05	705.0	644.8
0.44	11.03	18.03	704.9	644.6
0.45	11.04	18.02	705.0	644.8
0.46	11.04	18.0	705.0	644.7
0.47	11.04	17.97	705.0	644.7
0.48	11.05	17.98	705.1	644.9
0.49	11.03	17.94	704.9	644.6
0.5	11.04	17.93	704.9	644.5
0.51	11.03	17.9	704.9	644.8
0.52	11.04	17.9	704.8	644.6
0.53	11.05	17.89	704.9	644.8
0.54	11.04	17.86	705.0	644.7
0.55	11.03	17.84	705.1	644.7
