t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	644.7	704.6
0.0	9.33	16.06	704.6	644.7
0.01	10.53	18.03	704.7	644.7
0.02	10.82	18.43	704.5	645.1
0.03	10.9	18.53	704.7	645.1
0.04	10.94	18.56	704.7	644.9
0.05	10.96	18.54	704.6	645.0
0.06	10.98	18.53	704.5	644.9
0.07	10.98	18.51	704.5	644.6
0.08	11.01	18.49	704.7	644.9
0.09	11.01	18.5	704.5	645.0
0.1	11.02	18.47	704.6	644.9
0.11	11.02	18.44	704.7	644.4
0.12	11.01	18.41	704.7	645.3
0.13	11.02	18.39	704.7	645.0
0.14	11.03	18.37	704.7	644.6
0.15	11.02	18.34	704.7	645.5
0.16	11.02	18.31	704.8	645.0
0.17	11.02	18.29	704.7	644.7
0.18	11.02	18.26	704.6	645.2
0.19	11.02	18.24	704.6	645.1
0.2	11.02	18.23	704.8	644.6
0.21	11.03	18.21	704.5	645.1
0.22	11.03	18.19	704.6	645.1
0.23	11.02	18.16	704.6	644.9
0.24	11.03	18.15	704.5	644.7
0.25	11.02	18.12	704.6	645.2
0.26	11.02	18.11	704.7	644.9
0.27	11.02	18.09	704.7	644.6
0.28	11.02	18.06	704.7	645.4
0.29	11.02	18.04	704.7	645.1
0.3	11.02	18.02	704.6	644.4
0.31	11.02	18.01	704.8	645.2
0.32	11.02	18.0	704.7	645.0
0.33	11.03	17.98	704.6	644.9
0.34	11.04	17.97	704.7	645.1
0.35	11.03	17.96	704.7	645.3
0.36	11.03	17.93	704.7	644.8
0.37	11.03	17.91	704.4	644.6
0.38	11.02	17.88	704.8	645.0
0.39	11.03	17.86	704.6	645.0
0.4	11.03	17.85	704.8	644.4
0.41	11.02	17.83	704.5	645.3
0.42	11.02	17.81	704.5	644.9
0.43	11.04	17.81	704.8	644.4
0.44	11.02	17.78	704.8	645.0
0.45	11.03	17.78	704.7	645.2
0.46	11.02	17.75	704.7	644.8
0.47	11.03	17.73	704.5	645.1
0.48	11.02	17.73	704.8	645.2
0.49	11.02	17.7	704.6	644.8
0.5	11.02	17.68	704.6	644.6
0.51	11.02	17.66	704.6	645.2
0.52	11.03	17.66	704.6	645.0
0.53	11.04	17.65	704.6	644.5
0.54	11.03	17.62	704.5	645.3
0.55	11.02	17.6	704.6	645.1
0.56	11.03	17.59	704.7	644.8
0.57	11.02	17.56	704.9	644.6
0.58	11.02	17.54	704.6	645.3
0.59	11.02	17.52	704.5	645.1
0.6	11.02	17.51	704.7	644.5
0.61	11.03	17.51	704.5	645.0
0.62	11.03	17.49	704.7	645.0
0.63	11.03	17.47	704.6	644.6
0.64	11.02	17.45	704.6	644.9
0.65	11.03	17.44	704.9	645.0
0.66	11.02	17.43	704.7	644.8
0.67	11.03	17.41	704.6	645.2
0.68	11.04	17.41	704.6	645.0
0.69	11.04	17.39	704.5	644.7
0.7	11.03	17.36	704.7	644.9
0.71	11.02	17.35	704.6	645.2
0.72	11.03	17.33	704.5	644.9
0.73	11.02	17.32	704.6	644.9
0.74	11.04	17.33	704.6	645.2
0.75	11.03	17.3	704.6	644.9
0.76	11.03	17.28	704.7	644.6
0.77	11.02	17.25	704.7	644.8
0.78	11.03	17.24	704.5	645.1
0.79	11.02	17.22	704.5	645.0
0.8	11.04	17.23	704.8	644.7
0.81	11.01	17.19	704.5	645.0
0.82	11.02	17.18	704.6	645.1
0.83	11.02	17.15	704.6	644.8
0.84	11.04	17.16	704.8	644.8
0.85	11.03	17.14	704.5	645.1
0.86	11.02	17.12	704.6	644.8
0.87	11.03	17.11	704.6	644.9
0.88	11.03	17.09	704.7	645.0
0.89	11.04	17.09	704.5	644.8
0.9	11.03	17.05	704.7	644.6
0.91	11.03	17.05	704.6	645.2
0.92	11.04	17.03	704.8	645.0
0.93	11.02	16.99	704.7	644.6
0.94	11.04	17.0	704.6	645.1
0.95	11.03	16.98	704.4	645.4
0.96	11.03	16.96	704.7	644.8
0.97	11.02	16.95	704.7	644.8
0.98	11.04	16.96	704.6	645.1
0.99	11.03	16.93	704.6	644.9
1.0	11.03	16.91	704.6	644.6
1.01	11.04	16.91	704.7	645.2
1.02	11.03	16.88	704.5	645.0
1.03	11.02	16.85	704.6	644.5
1.04	11.02	16.84	704.7	645.2
1.05	11.03	16.84	704.5	645.1
1.06	11.03	16.81	704.8	644.7
1.07	11.02	16.79	704.6	645.1
1.08	11.02	16.77	704.6	645.0
1.09	11.03	16.76	704.6	645.1
1.1	11.04	16.77	704.8	644.7
1.11	11.04	16.74	704.6	645.2
1.12	11.01	16.71	704.5	645.0
1.13	11.02	16.7	704.6	644.6
1.14	11.01	16.67	704.7	645.0
1.15	11.03	16.68	704.7	645.0
1.16	11.03	16.67	704.7	644.9
1.17	11.05	16.67	704.8	644.8
1.18	11.04	16.65	704.6	645.0
1.19	11.04	16.63	704.8	644.9
1.2	11.03	16.62	704.6	644.5
1.21	11.02	16.59	704.8	645.0
1.22	11.02	16.56	704.8	645.1
1.23	11.03	16.56	704.5	644.7
1.24	11.03	16.54	704.8	644.9
1.25	11.02	16.52	704.7	645.1
1.26	11.02	16.51	704.6	644.8
1.27	11.01	16.49	704.4	644.8
1.28	11.03	16.48	704.8	645.2
1.29	11.02	16.47	704.5	645.1
1.3	11.01	16.45	704.7	644.6
1.31	11.02	16.44	704.7	645.0
1.32	11.01	16.42	704.9	645.1
1.33	11.02	16.4	704.8	644.7
1.34	11.03	16.4	704.6	644.6
1.35	11.02	16.39	704.6	645.0
1.36	11.03	16.39	704.8	645.1
1.37	11.03	16.37	704.8	644.8
1.38	11.02	16.35	704.6	644.9
1.39	11.02	16.33	704.6	645.1
1.4	11.02	16.3	704.8	644.7
1.41	11.03	16.31	704.7	645.1
1.42	11.04	16.31	704.6	645.1
1.43	11.04	16.29	704.5	645.0
1.44	11.03	16.27	704.7	644.6
1.45	11.02	16.24	704.5	645.4
1.46	11.04	16.25	704.5	645.0
1.47	11.04	16.23	704.6	644.8
1.48	11.04	16.22	704.7	644.7
1.49	11.03	16.19	704.7	645.3
1.5	11.03	16.16	704.7	644.9
1.51	11.03	16.17	704.8	644.6
1.52	11.03	16.15	704.6	645.2
1.53	11.03	16.13	704.6	645.0
1.54	11.04	16.12	704.6	644.8
1.55	11.02	16.11	704.5	645.1
1.56	11.01	16.08	704.7	645.2
1.57	11.02	16.07	704.7	644.9
1.58	11.04	16.07	704.6	644.8
1.59	11.03	16.05	704.7	645.5
1.6	11.04	16.04	704.7	644.9
1.61	11.03	16.02	704.6	644.7
1.62	11.05	16.02	704.7	645.0
1.63	11.03	15.99	704.7	644.9
1.64	11.04	15.98	704.6	644.7
1.65	11.04	15.98	704.5	645.3
1.66	11.03	15.95	704.6	645.1
1.67	11.03	15.94	704.6	644.8
1.68	11.03	15.92	704.8	644.8
1.69	11.03	15.9	704.4	645.3
1.7	11.03	15.88	704.6	645.0
1.71	11.03	15.87	704.6	644.6
1.72	11.05	15.87	704.7	645.1
1.73	11.03	15.84	704.6	645.4
1.74	11.03	15.83	704.8	644.9
1.75	11.03	15.81	704.6	644.8
1.76	11.03	15.8	704.5	645.6
1.77	11.03	15.79	704.7	645.0
1.78	11.03	15.76	704.6	644.6
1.79	11.03	15.75	704.7	645.1
1.8	11.03	15.74	704.7	645.0
1.81	11.03	15.72	704.7	644.8
1.82	11.04	15.73	704.5	644.9
1.83	11.03	15.7	704.6	645.4
1.84	11.02	15.68	704.6	645.0
1.85	11.03	15.67	704.7	644.7
1.86	11.02	15.65	704.6	645.0
1.87	11.03	15.64	704.8	645.0
1.88	11.02	15.63	704.6	644.8
1.89	11.03	15.61	704.6	645.0
1.9	11.03	15.61	704.5	645.2
1.91	11.03	15.58	704.8	644.9
1.92	11.03	15.57	704.6	644.9
1.93	11.03	15.55	704.6	645.0
1.94	11.02	15.53	704.6	645.0
1.95	11.03	15.52	704.6	644.7
1.96	11.03	15.5	704.8	645.1
1.97	11.03	15.49	704.7	645.0
1.98	11.03	15.48	704.8	644.5
1.99	11.04	15.47	704.7	644.9
2.0	11.03	15.45	704.5	645.1
2.01	11.04	15.44	704.5	644.8
2.02	11.03	15.42	704.5	644.9
2.03	11.04	15.4	704.8	645.2
2.04	11.03	15.38	704.6	644.8
2.05	11.03	15.38	704.7	644.8
2.06	11.03	15.36	704.6	645.2
2.07	11.02	15.34	704.5	645.1
2.08	11.04	15.35	704.7	644.4
2.09	11.03	15.32	704.8	645.1
2.1	11.03	15.3	704.5	645.1
2.11	11.03	15.29	704.7	644.7
2.12	11.03	15.27	704.6	644.8
2.13	11.02	15.26	704.6	645.3
2.14	11.03	15.24	704.6	644.9
2.15	11.03	15.23	704.6	644.8
2.16	11.03	15.23	704.5	645.2
2.17	11.01	15.2	704.8	644.8
2.18	11.03	15.18	704.6	644.6
2.19	11.03	15.17	704.5	645.2
2.2	11.03	15.16	704.8	645.0
2.21	11.02	15.15	704.7	644.8
2.22	11.03	15.12	704.6	645.1
2.23	11.03	15.12	704.7	645.0
2.24	11.04	15.11	704.6	644.9
2.25	11.03	15.09	704.5	644.7
2.26	11.05	15.08	704.8	645.3
2.27	11.02	15.06	704.7	644.8
2.28	11.04	15.05	704.5	644.6
2.29	11.03	15.03	704.6	645.2
2.3	11.03	15.01	704.7	644.8
2.31	11.03	15.0	704.7	644.6
2.32	11.03	14.99	704.6	645.0
2.33	11.04	14.98	704.6	645.2
2.34	11.04	14.96	704.8	644.9
2.35	11.03	14.94	704.7	644.8
2.36	11.03	14.92	704.6	645.1
2.37	11.02	14.9	704.6	645.0
2.38	11.04	14.9	704.6	644.6
2.39	11.03	14.89	704.9	645.0
2.4	11.04	14.88	704.7	645.2
2.41	11.03	14.85	704.5	644.9
2.42	11.02	14.83	704.7	644.7
2.43	11.02	14.82	704.5	645.1
2.44	11.04	14.82	704.5	645.0
2.45	11.04	14.81	704.6	644.6
2.46	11.02	14.77	704.8	645.1
2.47	11.04	14.77	704.8	645.1
2.48	11.03	14.75	704.5	644.8
2.49	11.02	14.73	704.6	644.6
2.5	11.03	14.72	704.6	645.1
2.51	11.04	14.71	704.6	645.1
2.52	11.03	14.69	704.5	644.8
2.53	11.04	14.68	704.5	644.8
2.54	11.02	14.66	704.8	645.3
2.55	11.05	14.65	704.7	645.0
2.56	11.02	14.62	704.5	644.7
2.57	11.05	14.63	704.5	645.2
2.58	11.03	14.61	704.6	645.0
2.59	11.03	14.59	704.8	644.8
2.6	11.04	14.59	704.9	644.8
2.61	11.04	14.57	704.8	645.2
2.62	11.03	14.55	704.4	645.1
2.63	11.03	14.52	704.8	644.6
2.64	11.02	14.51	704.6	645.2
2.65	11.04	14.51	704.5	645.0
2.66	11.04	14.5	704.5	644.4
2.67	11.03	14.48	704.6	644.9
2.68	11.04	14.46	704.9	645.1
2.69	11.04	14.45	704.7	644.8
2.7	11.02	14.43	704.6	644.6
2.71	11.03	14.41	704.5	645.2
2.72	11.03	14.39	704.6	645.1
2.73	11.02	14.38	704.6	644.7
2.74	11.01	14.36	704.8	644.9
2.75	11.04	14.36	704.6	645.2
2.76	11.04	14.35	704.6	644.9
2.77	11.04	14.34	704.9	644.6
2.78	11.04	14.34	704.8	645.3
2.79	11.02	14.29	704.4	644.9
2.8	11.03	14.28	704.6	644.6
2.81	11.05	14.28	704.6	645.0
2.82	11.04	14.26	704.7	644.9
2.83	11.04	14.24	704.7	644.6
2.84	11.03	14.23	704.6	644.8
2.85	11.03	14.22	705.0	645.0
2.86	11.02	14.2	704.7	644.8
2.87	11.01	14.18	704.7	644.6
2.88	11.03	14.17	704.7	645.5
2.89	11.02	14.15	704.6	646.0
2.9	11.01	14.13	704.6	647.3
2.91	11.01	14.12	704.7	650.2
2.92	11.01	14.11	704.8	652.4
2.93	11.02	14.1	704.8	653.3
2.94	11.03	14.1	704.6	654.7
2.95	11.03	14.08	704.5	656.7
2.96	11.05	14.08	704.7	658.0
2.97	11.04	14.06	704.7	659.2
2.98	11.04	14.03	704.6	661.0
2.99	11.03	14.02	704.7	661.7
3.0	11.04	14.01	704.8	662.6
3.01	11.03	13.99	704.6	664.5
3.02	11.04	13.98	704.6	665.9
3.03	11.03	13.96	706.4	666.4
3.04	11.05	13.94	708.6	668.5
3.05	11.04	13.92	709.4	670.0
3.06	11.05	13.92	710.5	671.4
3.07	11.03	13.91	709.8	672.3
3.08	11.03	13.88	713.7	674.2
3.09	11.05	13.88	715.3	675.3
3.1	11.04	13.86	715.8	676.6
3.11	11.03	13.84	716.1	677.9
3.12	11.04	13.84	718.0	679.3
3.13	11.05	13.83	720.3	680.1
3.14	11.06	13.82	721.0	680.9
3.15	11.03	13.81	721.8	682.6
3.16	11.05	13.79	721.9	683.4
