t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	649.9	685.7
0.0	9.36	15.78	685.7	649.9
0.01	10.57	17.76	685.6	649.6
0.02	10.85	18.19	685.6	649.9
0.03	10.94	18.28	685.5	649.6
0.04	10.98	18.31	685.6	649.8
0.05	10.99	18.3	685.6	649.8
0.06	11.0	18.29	685.7	649.7
0.07	11.03	18.27	685.6	649.8
0.08	11.03	18.26	685.6	649.7
0.09	11.05	18.26	685.6	649.7
0.1	11.05	18.23	685.5	649.5
0.11	11.05	18.21	685.6	649.9
0.12	11.05	18.18	685.6	649.7
0.13	11.06	18.16	685.6	649.8
0.14	11.06	18.15	685.6	649.9
0.15	11.06	18.12	685.7	649.8
0.16	11.05	18.09	685.7	649.9
0.17	11.05	18.07	685.6	649.8
0.18	11.06	18.05	685.6	649.8
0.19	11.06	18.03	685.6	649.7
0.2	11.06	18.02	685.7	649.6
0.21	11.07	18.0	685.6	649.7
0.22	11.06	17.99	685.6	649.8
0.23	11.07	17.96	685.5	649.8
0.24	11.06	17.94	685.5	649.8
0.25	11.06	17.92	685.5	649.9
0.26	11.05	17.89	685.7	649.6
0.27	11.06	17.88	685.5	650.0
0.28	11.05	17.85	685.6	650.0
0.29	11.06	17.84	685.7	649.7
0.3	11.05	17.82	685.6	649.6
0.31	11.06	17.8	685.5	649.9
0.32	11.06	17.79	685.6	649.8
0.33	11.06	17.77	685.5	649.7
0.34	11.07	17.76	685.6	650.0
0.35	11.06	17.74	685.6	649.7
0.36	11.07	17.72	685.6	650.0
0.37	11.06	17.7	685.6	649.8
0.38	11.06	17.67	685.5	649.8
0.39	11.05	17.65	685.6	649.7
0.4	11.06	17.64	685.6	650.0
0.41	11.06	17.62	685.6	649.8
0.42	11.05	17.6	685.6	649.8
0.43	11.06	17.59	685.5	650.0
0.44	11.06	17.57	685.5	649.8
0.45	11.06	17.56	685.5	650.0
0.46	11.06	17.54	685.5	649.8
0.47	11.06	17.52	685.5	649.7
0.48	11.07	17.52	685.6	649.8
0.49	11.06	17.48	685.7	649.7
0.5	11.05	17.47	685.6	650.0
0.51	11.05	17.45	685.5	649.8
0.52	11.07	17.45	685.5	649.9
0.53	11.07	17.44	685.5	649.7
0.54	11.07	17.42	685.6	649.6
0.55	11.05	17.39	685.6	649.6
0.56	11.06	17.39	685.5	649.9
0.57	11.05	17.36	685.6	649.8
0.58	11.05	17.34	685.6	649.8
0.59	11.05	17.32	685.6	649.8
0.6	11.05	17.31	685.6	649.8
0.61	11.05	17.31	685.5	649.9
0.62	11.07	17.29	685.6	649.6
0.63	11.06	17.26	685.6	649.9
0.64	11.05	17.25	685.5	649.9
0.65	11.06	17.24	685.6	649.8
0.66	11.07	17.22	685.6	649.8
0.67	11.06	17.2	685.5	649.9
0.68	11.07	17.2	685.6	649.8
0.69	11.06	17.18	685.6	649.6
0.7	11.05	17.15	685.6	649.8
0.71	11.06	17.14	685.6	649.7
0.72	11.06	17.12	685.6	649.7
0.73	11.07	17.1	685.5	649.9
0.74	11.07	17.12	685.6	649.7
0.75	11.08	17.08	685.7	649.9
0.76	11.06	17.06	685.6	649.6
0.77	11.06	17.04	685.5	649.7
0.78	11.06	17.03	685.5	649.8
0.79	11.06	17.01	685.6	649.8
0.8	11.07	17.02	685.6	649.8
0.81	11.06	16.98	685.6	649.9
0.82	11.05	16.96	685.5	649.9
0.83	11.05	16.94	685.5	649.7
0.84	11.07	16.95	685.6	649.9
0.85	11.07	16.92	685.5	649.8
0.86	11.06	16.9	685.8	649.8
0.87	11.06	16.89	685.6	650.0
0.88	11.06	16.88	685.7	649.8
0.89	11.07	16.87	685.7	649.7
0.9	11.06	16.84	685.5	649.8
0.91	11.07	16.83	685.5	649.9
0.92	11.06	16.82	685.6	649.9
0.93	11.06	16.78	685.5	649.9
0.94	11.06	16.79	685.5	649.9
