t[s]	U[V]	I[A]	Piro[C]	TC[C]
1.57	11.07	20.73	733.8	100.0
1.58	11.09	20.72	737.6	100.0
1.59	11.07	20.71	741.2	99.9
1.6	11.06	20.69	744.8	100.0
1.61	11.07	20.68	748.4	100.0
1.62	11.07	20.67	752.3	99.9
1.63	11.07	20.66	755.9	100.0
1.64	11.08	20.65	759.6	99.9
1.65	11.08	20.63	763.4	100.0
1.66	11.08	20.62	767.2	100.0
1.67	11.08	20.61	770.9	100.0
1.68	11.08	20.6	774.9	100.0
1.69	11.07	20.59	778.6	99.9
1.7	11.07	20.57	782.2	100.0
1.71	11.07	20.56	785.9	100.0
1.72	11.06	20.55	789.7	100.0
1.73	11.06	20.54	793.3	100.0
1.74	11.08	20.52	797.2	100.0
1.75	11.07	20.51	801.0	99.9
1.76	11.07	20.5	804.8	100.0
1.77	11.06	20.49	808.2	100.0
1.78	11.07	20.47	812.0	100.0
1.79	11.1	20.46	815.6	100.0
1.8	11.08	20.45	819.4	99.9
1.81	11.08	20.44	823.1	100.0
1.82	11.08	20.42	826.9	100.0
1.83	11.07	20.41	830.7	100.0
1.84	11.07	20.4	834.4	99.9
1.85	11.08	20.39	838.3	100.0
1.86	11.07	20.37	841.8	100.0
1.87	11.07	20.36	845.4	99.9
1.88	11.08	20.35	849.3	100.0
1.89	11.07	20.34	852.6	99.9
1.9	11.07	20.33	856.2	100.0
1.91	7.9	14.45	859.9	100.0
1.92	4.26	7.65	863.7	100.0
1.93	4.39	7.83	867.1	100.0
1.94	4.39	7.82	870.6	100.0
1.95	4.37	7.81	874.0	99.9
1.96	4.4	7.81	877.1	100.0
1.97	4.39	7.8	880.0	100.0
1.98	4.39	7.8	882.6	99.9
1.99	4.39	7.8	884.8	100.0
2.0	4.39	7.8	887.1	100.0
2.01	4.37	7.8	889.0	100.0
2.02	4.4	7.8	891.0	100.0
2.03	4.37	7.8	892.8	100.0
2.04	4.39	7.8	894.4	100.0
2.05	4.39	7.8	896.1	100.0
2.06	4.39	7.8	897.6	99.9
2.07	4.37	7.8	899.2	100.0
2.08	4.4	7.8	900.5	100.0
2.09	4.38	7.79	901.8	100.0
2.1	4.4	7.8	902.9	99.9
2.11	4.39	7.8	904.2	100.0
2.12	4.4	7.79	905.3	99.9
2.13	4.39	7.79	906.3	100.0
2.14	4.4	7.79	907.3	99.9
2.15	4.38	7.79	908.3	100.0
2.16	4.39	7.79	909.5	100.0
2.17	4.37	7.79	910.4	100.0
2.18	4.41	7.79	911.4	100.0
2.19	4.39	7.79	912.3	100.0
2.2	4.38	7.79	913.0	99.9
2.21	4.38	7.79	914.0	100.0
2.22	4.39	7.79	914.8	100.0
2.23	4.4	7.78	915.6	100.0
2.24	4.38	7.78	916.4	100.0
2.25	4.38	7.78	917.3	100.0
2.26	4.4	7.78	918.0	100.0
2.27	4.38	7.78	918.7	100.0
2.28	4.4	7.78	919.4	100.0
2.29	4.38	7.78	920.1	100.0
2.3	4.38	7.78	920.7	100.0
2.31	4.38	7.77	921.6	100.0
2.32	4.4	7.77	922.2	99.9
2.33	4.39	7.77	922.8	99.9
2.34	4.4	7.77	923.2	99.9
2.35	4.39	7.77	924.0	100.0
2.36	4.39	7.77	924.6	100.0
2.37	4.42	7.77	925.1	100.0
2.38	4.37	7.76	925.8	100.0
2.39	4.38	7.76	926.2	100.0
2.4	4.39	7.76	926.8	100.0
2.41	4.39	7.76	927.3	100.0
2.42	4.39	7.76	927.9	99.9
2.43	4.39	7.76	928.5	100.0
2.44	4.4	7.76	928.9	99.9
2.45	4.39	7.75	929.5	100.0
2.46	4.39	7.75	930.0	100.0
2.47	4.39	7.75	930.6	100.0
2.48	4.4	7.75	931.0	100.0
2.49	4.39	7.75	931.5	100.0
2.5	4.38	7.75	932.0	100.0
2.51	4.39	7.75	932.3	100.0
2.52	4.4	7.74	932.9	99.9
2.53	4.4	7.74	933.4	100.0
2.54	4.39	7.74	933.9	99.9
2.55	4.4	7.74	934.5	99.9
2.56	4.39	7.74	934.9	100.0
2.57	4.38	7.74	935.4	100.0
2.58	4.39	7.74	935.7	99.9
2.59	4.38	7.74	936.1	100.0
2.6	4.38	7.74	936.6	100.0
2.61	4.41	7.73	937.0	100.0
2.62	4.39	7.73	937.3	100.0
2.63	4.39	7.73	937.9	99.9
2.64	4.38	7.73	938.4	100.0
2.65	4.39	7.73	938.9	99.9
2.66	4.41	7.73	939.4	100.0
2.67	4.4	7.73	939.8	100.0
2.68	4.38	7.73	940.4	100.0
2.69	4.39	7.72	940.7	100.0
2.7	4.41	7.72	941.1	100.0
2.71	4.38	7.72	941.4	100.0
2.72	4.39	7.72	941.9	100.0
2.73	4.36	7.72	942.5	100.0
2.74	4.39	7.72	942.7	100.0
2.75	4.4	7.72	943.2	100.0
2.76	4.39	7.72	943.5	100.0
2.77	4.38	7.71	943.8	99.9
2.78	4.38	7.71	944.5	100.0
2.79	4.39	7.71	944.9	99.9
2.8	4.4	7.71	945.1	99.9
2.81	4.39	7.71	945.4	99.9
2.82	4.37	7.71	945.8	100.0
2.83	4.37	7.71	946.1	100.0
2.84	4.4	7.7	946.4	100.0
2.85	4.39	7.7	946.9	99.9
2.86	4.37	7.7	947.4	100.0
2.87	4.39	7.7	947.6	100.0
2.88	4.4	7.7	947.8	100.0
2.89	4.39	7.7	948.3	100.0
2.9	4.39	7.7	948.6	100.0
2.91	4.4	7.7	948.9	99.9
2.92	4.39	7.7	949.3	100.0
2.93	4.4	7.69	949.9	100.0
2.94	4.38	7.69	950.2	100.0
2.95	4.38	7.69	950.3	99.9
2.96	4.38	7.69	950.7	99.9
2.97	4.39	7.69	951.0	100.0
2.98	4.38	7.69	951.4	100.0
2.99	4.39	7.69	951.6	100.0
3.0	4.38	7.69	952.2	100.0
3.01	4.39	7.68	952.4	100.0
3.02	4.41	7.68	952.6	100.0
3.03	4.39	7.68	952.9	99.9
3.04	4.39	7.68	953.2	99.9
3.05	4.4	7.68	953.7	100.0
3.06	4.39	7.68	953.9	100.0
3.07	4.39	7.68	954.4	100.0
3.08	4.39	7.68	954.9	100.0
3.09	4.37	7.68	955.2	100.0
3.1	4.39	7.68	955.4	100.0
3.11	4.4	7.67	955.6	100.0
3.12	4.39	7.67	955.9	99.9
3.13	4.4	7.67	956.2	100.0
3.14	4.39	7.67	956.4	99.9
3.15	4.4	7.67	956.8	99.9
3.16	4.39	7.67	957.2	100.0
3.17	4.39	7.67	957.6	100.0
3.18	4.4	7.67	957.8	99.9
3.19	4.41	7.67	958.0	100.0
3.2	4.39	7.66	958.2	100.0
3.21	4.39	7.66	958.5	100.0
3.22	4.4	7.66	958.8	100.0
3.23	4.4	7.66	959.1	100.0
3.24	4.38	7.66	959.5	100.0
3.25	4.39	7.66	959.8	99.9
3.26	4.4	7.66	960.1	100.0
3.27	4.39	7.65	960.2	100.0
3.28	4.39	7.65	960.6	100.0
3.29	4.38	7.65	960.6	100.0
3.3	4.39	7.65	961.0	100.0
3.31	4.4	7.65	961.2	99.9
3.32	4.39	7.65	961.5	100.0
3.33	4.39	7.65	961.8	99.9
3.34	4.39	7.65	962.1	100.0
3.35	4.4	7.65	962.4	100.0
3.36	4.39	7.65	962.7	100.0
3.37	4.38	7.64	963.0	100.0
3.38	4.37	7.64	963.2	100.0
3.39	4.39	7.64	963.3	99.9
3.4	4.4	7.64	963.7	100.0
3.41	4.39	7.64	964.2	100.0
3.42	4.38	7.64	964.6	100.0
3.43	4.39	7.64	964.8	100.0
3.44	4.39	7.64	965.1	100.0
3.45	4.41	7.64	965.4	99.9
3.46	4.39	7.64	965.4	100.0
3.47	4.37	7.63	965.4	99.9
3.48	4.38	7.63	965.8	100.0
3.49	4.4	7.63	966.0	100.0
3.5	4.38	7.63	966.2	100.0
3.51	4.38	7.63	966.5	100.0
3.52	4.38	7.63	966.8	100.0
3.53	4.39	7.63	966.8	99.9
3.54	4.41	7.62	967.2	100.1
3.55	4.39	7.62	967.4	99.9
3.56	4.39	7.62	967.8	100.1
3.57	4.4	7.62	968.0	100.0
3.58	4.39	7.62	968.0	100.0
3.59	4.38	7.62	968.1	100.0
3.6	4.38	7.62	968.3	100.0
3.61	4.37	7.62	968.6	99.9
3.62	4.39	7.62	969.0	100.1
3.63	4.4	7.62	969.1	100.0
3.64	4.38	7.62	969.4	100.0
3.65	4.39	7.61	969.6	100.0
3.66	4.39	7.61	970.0	100.0
3.67	4.38	7.61	970.1	100.0
3.68	4.38	7.61	970.4	100.0
3.69	4.39	7.61	970.5	99.9
3.7	4.39	7.6	970.6	100.0
3.71	4.39	7.61	970.8	100.0
3.72	4.39	7.6	971.0	100.0
3.73	4.37	7.6	971.2	100.0
3.74	4.39	7.6	971.4	100.0
3.75	4.39	7.6	971.6	99.9
3.76	4.39	7.6	971.8	100.0
3.77	4.38	7.6	972.0	99.9
3.78	4.39	7.6	972.3	100.0
3.79	4.38	7.6	972.4	100.0
3.8	4.41	7.6	972.8	99.9
3.81	4.4	7.6	973.0	100.0
3.82	4.38	7.6	973.2	100.0
3.83	4.38	7.6	973.2	99.9
3.84	4.4	7.59	973.3	100.0
3.85	4.39	7.59	973.5	99.9
3.86	4.39	7.59	973.7	100.0
3.87	4.39	7.59	974.0	99.9
3.88	4.41	7.59	974.1	100.0
3.89	4.38	7.59	974.4	100.0
3.9	4.39	7.59	974.8	100.0
3.91	4.38	7.59	975.1	100.0
3.92	4.4	7.59	975.3	100.0
3.93	4.39	7.59	975.5	100.0
3.94	4.4	7.58	975.6	100.0
3.95	4.38	7.58	975.5	99.9
3.96	4.39	7.58	975.7	100.0
3.97	4.39	7.58	976.0	100.0
3.98	4.4	7.58	976.2	100.0
3.99	4.37	7.58	976.1	99.9
4.0	4.4	7.58	976.6	100.0
4.01	4.4	7.57	976.8	100.0
4.02	4.39	7.58	976.8	100.0
4.03	4.38	7.57	977.0	99.9
4.04	4.4	7.57	977.3	100.0
4.05	4.39	7.57	977.4	100.0
4.06	4.38	7.57	977.6	100.0
4.07	4.4	7.57	978.0	100.1
4.08	4.38	7.57	978.0	100.0
4.09	4.4	7.56	978.2	100.0
4.1	4.41	7.57	978.4	100.0
4.11	4.38	7.56	978.5	100.0
4.12	4.37	7.56	978.8	100.0
4.13	4.39	7.56	978.9	99.9
4.14	4.4	7.56	979.2	100.0
4.15	4.39	7.56	979.4	100.1
4.16	4.4	7.56	979.5	100.0
4.17	4.37	7.56	979.7	100.0
4.18	4.39	7.56	980.0	100.0
4.19	4.4	7.56	980.0	100.0
4.2	4.38	7.56	980.3	100.1
4.21	4.38	7.56	980.5	99.9
4.22	4.4	7.55	980.8	100.0
4.23	4.41	7.55	980.8	100.0
4.24	4.41	7.55	980.9	100.0
4.25	4.4	7.55	981.1	100.0
4.26	4.37	7.55	981.2	100.0
4.27	4.4	7.55	981.4	100.0
4.28	4.4	7.54	981.4	100.0
4.29	4.37	7.55	981.6	100.0
4.3	4.4	7.55	981.7	100.0
4.31	4.39	7.54	981.7	100.0
4.32	4.38	7.54	982.0	99.9
4.33	4.41	7.54	982.3	100.0
4.34	4.39	7.54	982.3	100.0
4.35	4.39	7.54	982.5	100.0
4.36	4.41	7.54	982.6	100.0
4.37	4.4	7.54	982.8	100.0
4.38	4.39	7.54	982.9	100.0
4.39	4.38	7.53	983.1	100.0
4.4	4.37	7.53	983.3	100.0
4.41	4.38	7.53	983.6	100.0
4.42	4.41	7.53	983.9	100.0
4.43	4.39	7.53	984.0	100.0
4.44	4.4	7.53	984.0	100.0
4.45	4.4	7.53	984.2	100.0
4.46	4.39	7.53	984.4	100.0
4.47	4.38	7.53	984.6	100.0
4.48	4.41	7.52	984.7	100.0
4.49	4.38	7.52	984.8	100.0
4.5	4.4	7.52	985.0	99.9
4.51	4.38	7.53	985.2	100.0
4.52	4.37	7.52	985.2	100.0
4.53	4.38	7.52	985.4	99.9
4.54	4.39	7.52	985.4	100.0
4.55	4.37	7.52	985.4	100.0
4.56	4.39	7.52	985.7	100.0
4.57	4.4	7.52	986.0	100.0
4.58	4.39	7.52	986.2	100.0
4.59	4.4	7.52	986.4	100.0
4.6	4.39	7.51	986.5	99.9
4.61	4.37	7.52	986.6	99.9
4.62	4.38	7.51	986.6	100.0
4.63	4.4	7.51	986.7	100.0
4.64	4.4	7.51	986.7	100.0
4.65	4.39	7.51	986.9	100.0
4.66	4.38	7.51	986.9	100.0
4.67	4.39	7.51	987.1	100.0
4.68	4.39	7.51	987.2	100.0
4.69	4.38	7.5	987.2	100.0
4.7	4.39	7.5	987.5	100.0
4.71	4.4	7.5	987.6	100.0
4.72	4.4	7.5	987.7	99.9
4.73	4.39	7.5	987.8	99.9
4.74	4.39	7.5	987.8	100.0
4.75	4.4	7.5	988.1	100.0
4.76	4.39	7.5	988.2	100.0
4.77	4.39	7.5	988.3	100.0
4.78	4.39	7.5	988.5	100.0
4.79	4.39	7.5	988.6	100.0
4.8	4.4	7.49	988.6	100.0
4.81	4.39	7.49	988.9	100.0
4.82	4.37	7.49	988.9	99.9
4.83	4.4	7.49	989.2	100.0
4.84	4.39	7.49	989.2	100.0
4.85	4.37	7.49	989.5	100.0
4.86	4.39	7.49	989.6	100.0
4.87	4.39	7.49	989.5	100.0
4.88	4.4	7.49	989.5	100.0
4.89	4.41	7.49	989.6	100.0
4.9	4.37	7.49	989.8	100.0
4.91	4.38	7.48	989.8	99.9
4.92	4.4	7.48	990.1	99.9
4.93	4.4	7.48	990.1	100.0
4.94	4.39	7.48	990.3	100.0
4.95	4.38	7.48	990.4	100.0
4.96	4.38	7.48	990.4	100.0
4.97	4.4	7.48	990.7	100.0
4.98	4.39	7.48	990.8	100.0
4.99	4.38	7.47	990.7	100.0
5.0	4.38	7.48	990.7	100.0
5.01	4.41	7.47	990.8	100.0
5.02	4.39	7.47	991.0	100.0
5.03	4.39	7.47	991.2	100.0
5.04	4.37	7.47	991.3	100.0
5.05	4.38	7.47	991.4	100.0
5.06	4.4	7.47	991.6	99.9
5.07	4.4	7.47	991.8	100.0
5.08	4.38	7.47	991.9	100.0
5.09	4.39	7.47	991.9	100.0
5.1	4.39	7.47	991.8	100.0
5.11	4.38	7.47	992.2	100.0
5.12	4.4	7.47	992.1	100.0
5.13	4.4	7.46	992.0	100.0
5.14	4.38	7.46	992.2	100.0
5.15	4.41	7.46	992.1	100.0
5.16	4.4	7.46	992.1	100.0
