t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	643.1	701.9
0.0	9.34	17.05	701.9	643.1
0.01	10.55	19.17	701.9	643.2
0.02	10.83	19.62	701.9	643.1
0.03	10.91	19.73	701.7	643.0
0.04	10.95	19.74	701.8	642.8
0.05	10.96	19.74	702.1	643.3
0.06	10.98	19.72	701.8	643.2
0.07	10.99	19.7	702.0	642.9
0.08	11.0	19.69	702.1	643.3
0.09	11.01	19.68	701.9	643.2
0.1	11.01	19.65	701.9	643.2
0.11	11.02	19.63	702.0	643.0
0.12	11.02	19.59	702.2	643.3
0.13	11.01	19.57	701.9	643.1
0.14	11.02	19.55	702.0	642.9
0.15	11.02	19.52	701.9	643.4
0.16	11.03	19.49	701.9	643.1
0.17	11.02	19.46	701.9	643.1
0.18	11.02	19.43	701.8	643.0
0.19	11.01	19.41	701.9	643.1
0.2	11.03	19.4	701.9	643.0
0.21	11.02	19.37	702.0	643.1
0.22	11.04	19.36	702.0	643.1
0.23	11.03	19.33	701.9	643.1
0.24	11.03	19.31	702.0	643.0
0.25	11.03	19.28	701.8	643.2
0.26	11.03	19.25	701.7	643.1
0.27	11.03	19.23	702.0	643.0
0.28	11.02	19.2	701.8	643.2
0.29	11.04	19.18	702.0	642.9
0.3	11.03	19.16	701.9	643.0
0.31	11.03	19.14	701.9	643.2
0.32	11.02	19.12	701.9	643.0
0.33	11.04	19.1	701.7	643.0
0.34	11.04	19.09	701.9	643.2
0.35	11.04	19.07	701.8	643.1
0.36	11.03	19.04	701.9	643.1
0.37	11.04	19.02	701.9	643.1
0.38	11.02	18.98	701.9	643.4
0.39	11.02	18.95	702.0	643.1
0.4	11.03	18.94	701.8	643.2
0.41	11.02	18.92	702.1	643.1
0.42	11.02	18.9	702.0	643.1
0.43	11.03	18.88	701.8	643.1
0.44	11.02	18.86	701.8	643.2
0.45	11.03	18.85	701.8	643.2
0.46	11.03	18.82	701.9	643.1
0.47	11.02	18.79	701.9	642.9
0.48	11.04	18.79	701.8	643.0
0.49	11.03	18.75	702.0	643.0
0.5	11.02	18.74	701.9	643.3
0.51	11.02	18.71	701.9	643.2
0.52	11.03	18.71	702.0	643.0
0.53	11.04	18.69	702.0	642.9
0.54	11.03	18.66	701.8	642.9
0.55	11.03	18.64	701.8	643.1
0.56	11.03	18.62	701.9	643.2
0.57	11.03	18.59	702.1	643.1
0.58	11.03	18.56	701.8	643.1
0.59	11.02	18.55	701.8	643.0
0.6	11.03	18.53	701.8	642.8
0.61	11.03	18.52	701.8	643.2
0.62	11.03	18.5	701.9	643.0
0.63	11.03	18.47	702.0	643.0
0.64	11.02	18.45	702.0	643.1
0.65	11.03	18.44	701.9	643.1
0.66	11.03	18.41	701.9	643.2
0.67	11.02	18.4	701.9	643.2
0.68	11.04	18.39	702.0	643.3
0.69	11.04	18.36	701.9	643.0
0.7	11.03	18.33	702.0	643.1
0.71	11.03	18.31	701.8	643.2
0.72	11.03	18.29	701.8	643.2
0.73	11.02	18.27	702.0	642.9
