t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	693.8	645.4
0.0	9.36	16.24	645.4	693.8
0.01	10.58	18.27	645.6	693.8
0.02	10.86	18.69	645.6	693.8
0.03	10.96	18.79	645.4	693.9
0.04	10.98	18.8	645.7	693.8
0.05	11.01	18.79	645.6	693.9
0.06	11.02	18.77	645.6	693.7
0.07	11.03	18.75	645.4	694.0
0.08	11.03	18.73	645.9	693.8
0.09	11.06	18.72	645.4	693.9
0.1	11.06	18.69	645.6	693.9
0.11	11.06	18.66	645.6	693.9
0.12	11.05	18.63	645.7	693.7
0.13	11.07	18.61	645.4	693.9
0.14	11.06	18.59	645.5	693.8
0.15	11.06	18.55	645.5	693.6
0.16	11.06	18.52	645.4	693.8
0.17	11.06	18.5	645.6	693.8
0.18	11.05	18.47	645.6	693.9
0.19	11.06	18.44	645.5	693.8
0.2	11.06	18.43	645.6	693.9
0.21	11.06	18.41	645.7	693.8
0.22	11.07	18.4	645.4	693.8
0.23	11.07	18.36	645.4	693.9
0.24	11.07	18.34	645.8	693.8
0.25	11.06	18.31	645.7	693.8
0.26	11.07	18.28	645.5	693.9
0.27	11.06	18.26	645.6	693.9
0.28	11.07	18.24	645.7	693.9
0.29	11.06	18.22	645.5	693.8
0.3	11.07	18.19	645.5	693.8
0.31	11.06	18.17	645.6	693.8
0.32	11.08	18.16	645.4	693.8
0.33	11.06	18.14	645.5	693.8
0.34	11.08	18.12	645.6	693.8
0.35	11.07	18.1	645.6	693.8
0.36	11.07	18.07	645.6	693.8
0.37	11.06	18.05	645.6	693.8
0.38	11.07	18.02	645.2	693.8
0.39	11.05	17.99	645.8	694.0
0.4	11.06	17.98	645.5	693.8
0.41	11.05	17.96	645.4	693.8
0.42	11.06	17.94	645.5	693.8
0.43	11.06	17.93	645.5	693.9
0.44	11.06	17.91	645.6	693.8
0.45	11.06	17.9	645.4	693.9
0.46	11.06	17.87	645.6	693.8
0.47	11.05	17.84	645.5	693.9
0.48	11.06	17.84	645.5	693.8
0.49	11.05	17.81	645.5	693.8
0.5	11.07	17.79	645.5	693.8
0.51	11.05	17.76	645.6	693.9
0.52	11.07	17.76	645.6	693.8
0.53	11.07	17.75	645.6	693.8
0.54	11.07	17.72	645.5	693.8
0.55	11.06	17.7	645.7	694.0
0.56	11.07	17.69	645.4	693.8
0.57	11.06	17.65	645.7	693.9
0.58	11.05	17.63	645.5	693.8
0.59	11.06	17.61	645.4	693.8
0.6	11.06	17.6	645.5	693.8
0.61	11.07	17.59	645.6	693.8
0.62	11.07	17.57	645.7	693.9
0.63	11.07	17.54	645.2	693.9
0.64	11.06	17.53	645.6	693.8
0.65	11.07	17.51	645.3	693.8
0.66	11.07	17.49	645.6	693.8
0.67	11.07	17.48	645.7	693.9
0.68	11.07	17.47	645.4	693.9
0.69	11.08	17.45	645.6	693.8
0.7	11.06	17.42	645.7	693.8
0.71	11.06	17.4	645.7	693.6
0.72	11.06	17.38	645.3	693.9
0.73	11.06	17.36	645.3	693.8
0.74	11.07	17.37	645.6	693.7
0.75	11.07	17.34	645.8	693.8
0.76	11.06	17.31	645.7	693.9
0.77	11.06	17.29	645.7	693.8
0.78	11.06	17.28	645.8	693.8
0.79	11.06	17.25	645.4	693.8
0.8	11.07	17.26	645.5	693.9
0.81	11.07	17.22	645.8	693.8
0.82	11.06	17.2	645.5	693.8
0.83	11.06	17.18	645.7	693.8
0.84	11.08	17.19	645.5	693.8
0.85	11.07	17.16	645.7	693.9
0.86	11.06	17.14	645.5	693.9
0.87	11.07	17.12	645.6	693.9
0.88	11.07	17.11	645.6	693.8
0.89	11.08	17.1	645.4	693.9
0.9	11.06	17.07	645.7	693.8
0.91	11.08	17.06	645.4	693.7
0.92	11.07	17.04	645.4	693.8
0.93	11.06	17.0	645.5	694.0
0.94	11.08	17.01	645.6	693.7
