t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	704.6	644.7
0.0	9.33	16.06	644.7	704.6
0.01	10.53	18.03	644.7	704.7
0.02	10.82	18.43	645.1	704.5
0.03	10.9	18.53	645.1	704.7
0.04	10.94	18.56	644.9	704.7
0.05	10.96	18.54	645.0	704.6
0.06	10.98	18.53	644.9	704.5
0.07	10.98	18.51	644.6	704.5
0.08	11.01	18.49	644.9	704.7
0.09	11.01	18.5	645.0	704.5
0.1	11.02	18.47	644.9	704.6
0.11	11.02	18.44	644.4	704.7
0.12	11.01	18.41	645.3	704.7
0.13	11.02	18.39	645.0	704.7
0.14	11.03	18.37	644.6	704.7
0.15	11.02	18.34	645.5	704.7
0.16	11.02	18.31	645.0	704.8
0.17	11.02	18.29	644.7	704.7
0.18	11.02	18.26	645.2	704.6
0.19	11.02	18.24	645.1	704.6
0.2	11.02	18.23	644.6	704.8
0.21	11.03	18.21	645.1	704.5
0.22	11.03	18.19	645.1	704.6
0.23	11.02	18.16	644.9	704.6
0.24	11.03	18.15	644.7	704.5
0.25	11.02	18.12	645.2	704.6
0.26	11.02	18.11	644.9	704.7
0.27	11.02	18.09	644.6	704.7
0.28	11.02	18.06	645.4	704.7
0.29	11.02	18.04	645.1	704.7
0.3	11.02	18.02	644.4	704.6
0.31	11.02	18.01	645.2	704.8
0.32	11.02	18.0	645.0	704.7
0.33	11.03	17.98	644.9	704.6
0.34	11.04	17.97	645.1	704.7
0.35	11.03	17.96	645.3	704.7
0.36	11.03	17.93	644.8	704.7
0.37	11.03	17.91	644.6	704.4
0.38	11.02	17.88	645.0	704.8
0.39	11.03	17.86	645.0	704.6
0.4	11.03	17.85	644.4	704.8
0.41	11.02	17.83	645.3	704.5
0.42	11.02	17.81	644.9	704.5
0.43	11.04	17.81	644.4	704.8
0.44	11.02	17.78	645.0	704.8
0.45	11.03	17.78	645.2	704.7
0.46	11.02	17.75	644.8	704.7
0.47	11.03	17.73	645.1	704.5
0.48	11.02	17.73	645.2	704.8
0.49	11.02	17.7	644.8	704.6
0.5	11.02	17.68	644.6	704.6
0.51	11.02	17.66	645.2	704.6
0.52	11.03	17.66	645.0	704.6
0.53	11.04	17.65	644.5	704.6
0.54	11.03	17.62	645.3	704.5
0.55	11.02	17.6	645.1	704.6
0.56	11.03	17.59	644.8	704.7
0.57	11.02	17.56	644.6	704.9
0.58	11.02	17.54	645.3	704.6
0.59	11.02	17.52	645.1	704.5
0.6	11.02	17.51	644.5	704.7
0.61	11.03	17.51	645.0	704.5
0.62	11.03	17.49	645.0	704.7
0.63	11.03	17.47	644.6	704.6
0.64	11.02	17.45	644.9	704.6
0.65	11.03	17.44	645.0	704.9
0.66	11.02	17.43	644.8	704.7
0.67	11.03	17.41	645.2	704.6
0.68	11.04	17.41	645.0	704.6
0.69	11.04	17.39	644.7	704.5
0.7	11.03	17.36	644.9	704.7
0.71	11.02	17.35	645.2	704.6
0.72	11.03	17.33	644.9	704.5
0.73	11.02	17.32	644.9	704.6
0.74	11.04	17.33	645.2	704.6
0.75	11.03	17.3	644.9	704.6
0.76	11.03	17.28	644.6	704.7
0.77	11.02	17.25	644.8	704.7
0.78	11.03	17.24	645.1	704.5
0.79	11.02	17.22	645.0	704.5
0.8	11.04	17.23	644.7	704.8
0.81	11.01	17.19	645.0	704.5
0.82	11.02	17.18	645.1	704.6
0.83	11.02	17.15	644.8	704.6
0.84	11.04	17.16	644.8	704.8
0.85	11.03	17.14	645.1	704.5
0.86	11.02	17.12	644.8	704.6
0.87	11.03	17.11	644.9	704.6
0.88	11.03	17.09	645.0	704.7
0.89	11.04	17.09	644.8	704.5
0.9	11.03	17.05	644.6	704.7
0.91	11.03	17.05	645.2	704.6
0.92	11.04	17.03	645.0	704.8
0.93	11.02	16.99	644.6	704.7
0.94	11.04	17.0	645.1	704.6
0.95	11.03	16.98	645.4	704.4
0.96	11.03	16.96	644.8	704.7
0.97	11.02	16.95	644.8	704.7
0.98	11.04	16.96	645.1	704.6
0.99	11.03	16.93	644.9	704.6
1.0	11.03	16.91	644.6	704.6
1.01	11.04	16.91	645.2	704.7
1.02	11.03	16.88	645.0	704.5
1.03	11.02	16.85	644.5	704.6
1.04	11.02	16.84	645.2	704.7
1.05	11.03	16.84	645.1	704.5
1.06	11.03	16.81	644.7	704.8
1.07	11.02	16.79	645.1	704.6
1.08	11.02	16.77	645.0	704.6
1.09	11.03	16.76	645.1	704.6
1.1	11.04	16.77	644.7	704.8
1.11	11.04	16.74	645.2	704.6
1.12	11.01	16.71	645.0	704.5
1.13	11.02	16.7	644.6	704.6
1.14	11.01	16.67	645.0	704.7
1.15	11.03	16.68	645.0	704.7
1.16	11.03	16.67	644.9	704.7
1.17	11.05	16.67	644.8	704.8
1.18	11.04	16.65	645.0	704.6
1.19	11.04	16.63	644.9	704.8
1.2	11.03	16.62	644.5	704.6
1.21	11.02	16.59	645.0	704.8
1.22	11.02	16.56	645.1	704.8
1.23	11.03	16.56	644.7	704.5
1.24	11.03	16.54	644.9	704.8
1.25	11.02	16.52	645.1	704.7
1.26	11.02	16.51	644.8	704.6
1.27	11.01	16.49	644.8	704.4
1.28	11.03	16.48	645.2	704.8
1.29	11.02	16.47	645.1	704.5
1.3	11.01	16.45	644.6	704.7
1.31	11.02	16.44	645.0	704.7
1.32	11.01	16.42	645.1	704.9
1.33	11.02	16.4	644.7	704.8
1.34	11.03	16.4	644.6	704.6
1.35	11.02	16.39	645.0	704.6
1.36	11.03	16.39	645.1	704.8
1.37	11.03	16.37	644.8	704.8
1.38	11.02	16.35	644.9	704.6
1.39	11.02	16.33	645.1	704.6
1.4	11.02	16.3	644.7	704.8
1.41	11.03	16.31	645.1	704.7
1.42	11.04	16.31	645.1	704.6
1.43	11.04	16.29	645.0	704.5
1.44	11.03	16.27	644.6	704.7
1.45	11.02	16.24	645.4	704.5
1.46	11.04	16.25	645.0	704.5
1.47	11.04	16.23	644.8	704.6
1.48	11.04	16.22	644.7	704.7
1.49	11.03	16.19	645.3	704.7
1.5	11.03	16.16	644.9	704.7
1.51	11.03	16.17	644.6	704.8
1.52	11.03	16.15	645.2	704.6
1.53	11.03	16.13	645.0	704.6
1.54	11.04	16.12	644.8	704.6
1.55	11.02	16.11	645.1	704.5
1.56	11.01	16.08	645.2	704.7
1.57	11.02	16.07	644.9	704.7
1.58	11.04	16.07	644.8	704.6
