t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	701.9	643.1
0.0	9.34	17.05	643.1	701.9
0.01	10.55	19.17	643.2	701.9
0.02	10.83	19.62	643.1	701.9
0.03	10.91	19.73	643.0	701.7
0.04	10.95	19.74	642.8	701.8
0.05	10.96	19.74	643.3	702.1
0.06	10.98	19.72	643.2	701.8
0.07	10.99	19.7	642.9	702.0
0.08	11.0	19.69	643.3	702.1
0.09	11.01	19.68	643.2	701.9
0.1	11.01	19.65	643.2	701.9
0.11	11.02	19.63	643.0	702.0
0.12	11.02	19.59	643.3	702.2
0.13	11.01	19.57	643.1	701.9
0.14	11.02	19.55	642.9	702.0
0.15	11.02	19.52	643.4	701.9
0.16	11.03	19.49	643.1	701.9
0.17	11.02	19.46	643.1	701.9
0.18	11.02	19.43	643.0	701.8
0.19	11.01	19.41	643.1	701.9
0.2	11.03	19.4	643.0	701.9
0.21	11.02	19.37	643.1	702.0
0.22	11.04	19.36	643.1	702.0
0.23	11.03	19.33	643.1	701.9
0.24	11.03	19.31	643.0	702.0
0.25	11.03	19.28	643.2	701.8
0.26	11.03	19.25	643.1	701.7
0.27	11.03	19.23	643.0	702.0
0.28	11.02	19.2	643.2	701.8
0.29	11.04	19.18	642.9	702.0
0.3	11.03	19.16	643.0	701.9
0.31	11.03	19.14	643.2	701.9
0.32	11.02	19.12	643.0	701.9
0.33	11.04	19.1	643.0	701.7
0.34	11.04	19.09	643.2	701.9
0.35	11.04	19.07	643.1	701.8
0.36	11.03	19.04	643.1	701.9
0.37	11.04	19.02	643.1	701.9
0.38	11.02	18.98	643.4	701.9
0.39	11.02	18.95	643.1	702.0
0.4	11.03	18.94	643.2	701.8
0.41	11.02	18.92	643.1	702.1
0.42	11.02	18.9	643.1	702.0
0.43	11.03	18.88	643.1	701.8
0.44	11.02	18.86	643.2	701.8
0.45	11.03	18.85	643.2	701.8
0.46	11.03	18.82	643.1	701.9
0.47	11.02	18.79	642.9	701.9
0.48	11.04	18.79	643.0	701.8
0.49	11.03	18.75	643.0	702.0
0.5	11.02	18.74	643.3	701.9
0.51	11.02	18.71	643.2	701.9
0.52	11.03	18.71	643.0	702.0
0.53	11.04	18.69	642.9	702.0
0.54	11.03	18.66	642.9	701.8
0.55	11.03	18.64	643.1	701.8
0.56	11.03	18.62	643.2	701.9
0.57	11.03	18.59	643.1	702.1
0.58	11.03	18.56	643.1	701.8
0.59	11.02	18.55	643.0	701.8
0.6	11.03	18.53	642.8	701.8
0.61	11.03	18.52	643.2	701.8
0.62	11.03	18.5	643.0	701.9
0.63	11.03	18.47	643.0	702.0
0.64	11.02	18.45	643.1	702.0
0.65	11.03	18.44	643.1	701.9
0.66	11.03	18.41	643.2	701.9
0.67	11.02	18.4	643.2	701.9
0.68	11.04	18.39	643.3	702.0
0.69	11.04	18.36	643.0	701.9
0.7	11.03	18.33	643.1	702.0
0.71	11.03	18.31	643.2	701.8
0.72	11.03	18.29	643.2	701.8
0.73	11.02	18.27	642.9	702.0
0.74	11.05	18.28	643.3	701.8
0.75	11.04	18.24	643.1	701.9
0.76	11.03	18.22	643.2	701.9
0.77	11.02	18.19	643.0	701.8
0.78	11.03	18.17	643.2	702.0
0.79	11.03	18.15	643.2	702.0
0.8	11.05	18.15	643.0	701.8
0.81	11.03	18.11	643.1	701.9
0.82	11.03	18.09	643.2	701.9
0.83	11.02	18.06	642.9	701.8
0.84	11.05	18.07	643.2	701.8
0.85	11.03	18.04	643.3	701.9
0.86	11.04	18.02	642.9	701.8
0.87	11.03	18.0	643.1	701.9
0.88	11.04	17.99	643.4	701.9
0.89	11.05	17.98	643.2	702.1
0.9	11.03	17.94	643.1	701.9
0.91	11.04	17.93	643.3	701.9
0.92	11.03	17.91	643.1	702.0
0.93	11.01	17.87	643.0	701.8
0.94	11.03	17.87	643.3	702.0
0.95	11.03	17.84	643.0	702.1
0.96	11.02	17.82	643.0	701.8
0.97	11.02	17.81	643.2	701.9
0.98	11.04	17.81	643.2	701.9
0.99	11.03	17.78	643.0	701.7
1.0	11.02	17.75	643.2	702.0
1.01	11.04	17.74	643.2	702.0
1.02	11.03	17.72	643.1	702.2
1.03	11.02	17.68	642.9	701.9
1.04	11.03	17.67	643.1	701.8
1.05	11.04	17.66	643.2	701.9
1.06	11.03	17.64	642.9	702.0
1.07	11.03	17.62	643.0	701.9
1.08	11.03	17.59	643.1	701.8
1.09	11.03	17.58	643.0	701.9
1.1	11.05	17.59	643.0	701.8
1.11	11.04	17.55	643.4	702.0
1.12	11.03	17.51	643.3	701.9
1.13	11.03	17.5	643.3	701.8
1.14	11.02	17.47	643.2	701.9
1.15	11.03	17.47	643.1	701.9
1.16	11.03	17.46	643.2	702.1
1.17	11.04	17.46	643.1	702.0
1.18	11.04	17.43	643.2	701.8
1.19	11.04	17.4	643.1	702.1
1.2	11.03	17.39	643.0	701.9
1.21	11.03	17.36	643.1	701.8
1.22	11.02	17.32	643.3	702.0
1.23	11.03	17.32	643.1	701.9
1.24	11.02	17.29	643.0	701.8
1.25	11.02	17.27	643.0	701.9
1.26	11.03	17.26	643.1	701.9
1.27	11.02	17.23	643.1	702.0
1.28	11.03	17.23	643.3	701.9
1.29	11.02	17.2	643.1	702.0
1.3	11.03	17.19	643.2	701.8
1.31	11.03	17.17	643.3	701.8
1.32	11.02	17.14	643.2	702.0
1.33	11.02	17.13	643.2	701.8
1.34	11.03	17.12	643.1	702.1
1.35	11.04	17.1	643.1	701.9
1.36	11.05	17.1	643.2	702.0
1.37	11.04	17.07	643.0	702.0
1.38	11.04	17.05	643.2	701.8
1.39	11.02	17.02	643.2	702.2
1.4	11.02	16.99	643.1	701.8
1.41	11.03	17.0	643.0	701.9
1.42	11.05	16.99	643.2	701.9
1.43	11.04	16.96	643.1	701.9
1.44	11.04	16.94	643.1	701.8
1.45	11.02	16.91	643.2	701.8
1.46	11.04	16.91	643.2	701.8
