t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	704.1	646.9
0.0	9.36	16.27	646.9	704.1
0.01	10.57	18.31	646.8	704.1
0.02	10.86	18.76	646.6	704.1
0.03	10.94	18.86	646.5	704.0
0.04	10.97	18.89	647.0	704.1
0.05	11.0	18.88	646.8	704.1
0.06	11.01	18.87	646.8	704.0
0.07	11.02	18.86	646.9	704.1
0.08	11.03	18.86	646.9	704.2
0.09	11.05	18.85	646.8	704.1
0.1	11.04	18.83	647.0	704.0
0.11	11.05	18.8	646.8	704.2
0.12	11.04	18.78	646.6	704.1
0.13	11.04	18.76	646.7	704.1
0.14	11.06	18.75	646.6	704.1
0.15	11.05	18.72	646.7	704.1
0.16	11.05	18.69	646.7	704.1
0.17	11.06	18.67	647.0	704.2
0.18	11.04	18.64	646.6	704.2
0.19	11.05	18.63	646.9	704.0
0.2	11.06	18.61	646.8	704.1
0.21	11.06	18.6	646.9	704.1
0.22	11.07	18.59	647.0	704.1
0.23	11.06	18.56	646.8	704.1
0.24	11.05	18.54	646.7	704.2
0.25	11.07	18.52	646.8	704.1
0.26	11.05	18.49	646.6	704.1
0.27	11.07	18.48	646.8	704.2
0.28	11.05	18.45	646.6	704.1
0.29	11.06	18.44	646.6	704.0
0.3	11.05	18.41	646.8	704.1
0.31	11.07	18.4	646.7	704.1
0.32	11.06	18.39	647.0	704.1
0.33	11.06	18.37	646.9	704.2
0.34	11.05	18.36	646.8	704.1
0.35	11.07	18.34	646.7	704.0
0.36	11.06	18.32	646.9	704.1
0.37	11.06	18.3	646.8	704.2
0.38	11.06	18.27	646.9	704.1
0.39	11.05	18.25	646.6	704.0
0.4	11.04	18.23	646.8	704.0
0.41	11.06	18.21	646.7	704.0
0.42	11.04	18.2	646.9	704.1
0.43	11.05	18.19	646.7	704.1
0.44	11.05	18.17	646.9	704.1
0.45	11.05	18.16	646.6	704.1
0.46	11.05	18.14	646.8	704.1
0.47	11.05	18.11	646.9	704.1
0.48	11.07	18.12	646.6	704.2
0.49	11.05	18.08	646.9	704.1
0.5	11.06	18.07	646.9	704.0
0.51	11.04	18.04	646.8	704.1
0.52	11.06	18.04	646.8	704.1
0.53	11.06	18.03	646.8	704.2
0.54	11.06	18.01	646.9	704.2
0.55	11.05	17.99	646.8	704.1
0.56	11.06	17.98	646.7	704.1
0.57	11.05	17.95	646.9	704.2
0.58	11.05	17.92	646.8	704.2
0.59	11.05	17.91	646.6	704.1
0.6	11.07	17.9	646.9	704.2
0.61	11.06	17.89	646.8	704.0
0.62	11.05	17.88	646.8	704.1
0.63	11.05	17.85	646.8	704.1
0.64	11.05	17.84	646.9	704.1
0.65	11.05	17.82	646.8	704.1
0.66	11.05	17.8	646.8	704.0
0.67	11.05	17.79	646.9	704.2
0.68	11.06	17.79	646.8	704.2
0.69	11.06	17.76	646.8	704.1
0.7	11.05	17.73	646.7	704.1
0.71	11.04	17.72	646.7	704.2
0.72	11.06	17.7	646.8	704.0
0.73	11.05	17.68	646.6	704.2
0.74	11.07	17.7	646.8	704.3
0.75	11.06	17.66	646.7	704.1
0.76	11.06	17.64	646.8	704.1
0.77	11.05	17.62	646.9	704.1
0.78	11.06	17.6	646.7	704.2
0.79	11.07	17.58	646.8	704.1
0.8	11.07	17.59	647.1	704.2
0.81	11.05	17.55	646.7	704.1
0.82	11.05	17.53	646.7	704.1
0.83	11.06	17.51	647.0	704.1
0.84	11.07	17.52	646.7	704.0
0.85	11.06	17.49	646.6	704.0
0.86	11.06	17.47	646.9	704.1
0.87	11.06	17.46	646.8	704.1
0.88	11.05	17.44	646.8	704.1
0.89	11.07	17.44	646.7	704.1
0.9	11.05	17.4	647.0	704.2
0.91	11.06	17.4	646.7	704.0
0.92	11.06	17.38	646.9	704.1
0.93	11.04	17.34	646.9	704.1
0.94	11.06	17.35	646.8	704.1
0.95	11.06	17.32	646.7	704.2
0.96	11.05	17.3	646.8	704.1
0.97	11.06	17.29	646.8	704.2
0.98	11.06	17.29	646.6	704.2
0.99	11.06	17.26	647.0	704.1
1.0	11.06	17.24	646.7	704.2
1.01	11.06	17.24	646.8	704.0
1.02	11.05	17.21	646.9	704.2
1.03	11.05	17.18	646.6	704.2
1.04	11.05	17.18	646.8	704.1
1.05	11.06	17.17	646.8	704.1
1.06	11.05	17.15	646.9	704.2
1.07	11.06	17.13	646.9	704.1
1.08	11.06	17.11	646.8	704.0
1.09	11.05	17.1	646.7	704.3
1.1	11.08	17.11	646.9	704.1
1.11	11.07	17.08	646.8	704.1
1.12	11.05	17.05	646.8	704.2
1.13	11.05	17.03	647.0	704.1
1.14	11.04	17.01	646.8	704.2
1.15	11.06	17.02	646.9	704.1
1.16	11.06	17.0	646.8	704.2
1.17	11.07	17.0	646.8	704.1
1.18	11.07	16.98	646.8	704.0
1.19	11.06	16.96	647.2	704.1
1.2	11.07	16.95	646.8	704.1
1.21	11.05	16.92	646.8	704.1
1.22	11.04	16.89	646.7	704.1
1.23	11.05	16.89	647.0	704.2
1.24	11.05	16.86	646.8	704.0
1.25	11.04	16.84	646.8	704.0
1.26	11.06	16.83	646.8	704.1
1.27	11.04	16.81	646.9	704.0
1.28	11.05	16.81	647.1	704.1
1.29	11.05	16.79	646.9	704.1
1.3	11.06	16.77	646.8	704.0
1.31	11.05	16.76	646.7	704.1
1.32	11.05	16.73	646.8	704.1
1.33	11.05	16.72	646.6	704.1
1.34	11.05	16.71	646.8	704.0
1.35	11.06	16.7	646.7	704.0
1.36	11.08	16.71	646.9	704.1
1.37	11.06	16.68	646.8	704.2
1.38	11.06	16.66	646.7	704.1
1.39	11.05	16.63	646.7	704.1
1.4	11.04	16.61	646.9	704.1
1.41	11.05	16.61	646.8	704.0
1.42	11.07	16.61	647.0	704.2
1.43	11.06	16.59	647.0	704.2
1.44	11.06	16.57	646.8	704.2
1.45	11.06	16.54	646.7	704.0
1.46	11.06	16.55	646.8	704.2
1.47	11.05	16.52	646.8	704.1
1.48	11.06	16.52	647.0	704.2
1.49	11.06	16.49	646.8	704.1
1.5	11.05	16.46	646.8	704.1
1.51	11.06	16.46	647.0	704.2
1.52	11.05	16.44	646.9	704.0
1.53	11.05	16.42	647.0	704.1
1.54	11.05	16.41	647.0	704.1
1.55	11.06	16.4	646.8	704.1
1.56	11.04	16.37	646.8	704.1
1.57	11.05	16.36	646.8	704.1
1.58	11.05	16.35	647.1	704.1
1.59	11.06	16.34	646.9	704.2
1.6	11.06	16.33	646.8	704.2
1.61	11.06	16.3	647.1	704.0
1.62	11.06	16.31	646.9	704.0
1.63	11.06	16.28	647.0	704.0
1.64	11.06	16.27	647.0	704.1
1.65	11.07	16.26	646.9	704.1
1.66	11.06	16.24	646.6	704.1
1.67	11.06	16.22	646.7	704.0
1.68	11.06	16.2	646.8	704.2
1.69	11.05	16.18	646.9	704.2
1.7	11.05	16.17	646.8	704.2
1.71	11.05	16.15	646.8	704.2
1.72	11.07	16.16	647.0	704.0
1.73	11.06	16.13	646.7	704.0
1.74	11.05	16.11	646.8	704.2
1.75	11.05	16.09	647.1	704.1
1.76	11.05	16.08	646.9	704.1
1.77	11.06	16.07	646.9	704.1
1.78	11.05	16.04	646.8	704.1
1.79	11.05	16.03	646.8	704.1
1.8	11.05	16.02	646.7	704.1
1.81	11.05	16.0	646.7	704.0
1.82	11.06	16.0	646.6	704.1
1.83	11.06	15.97	646.9	704.2
1.84	11.06	15.95	646.9	704.2
1.85	11.06	15.95	646.8	704.2
1.86	11.05	15.92	646.9	704.2
1.87	11.05	15.91	646.6	704.0
1.88	11.06	15.9	647.0	704.1
1.89	11.06	15.88	647.0	704.0
1.9	11.08	15.88	646.7	704.1
1.91	11.05	15.85	646.7	704.2
1.92	11.06	15.84	647.0	704.1
1.93	11.05	15.82	646.9	704.1
1.94	11.05	15.8	646.8	704.2
1.95	11.06	15.79	646.8	704.1
1.96	11.06	15.77	646.8	704.2
1.97	11.05	15.75	646.9	704.1
1.98	11.05	15.74	646.7	704.0
1.99	11.06	15.73	647.0	704.1
2.0	11.05	15.71	646.8	704.2
2.01	11.06	15.7	647.0	704.0
2.02	11.06	15.68	646.7	704.0
2.03	11.05	15.67	646.9	704.1
2.04	11.05	15.65	646.8	704.0
2.05	11.05	15.64	646.8	704.1
2.06	11.06	15.62	646.8	704.1
2.07	11.04	15.6	646.6	704.1
2.08	11.07	15.61	647.1	704.0
2.09	11.06	15.58	646.8	704.0
2.1	11.05	15.56	646.6	704.0
2.11	11.06	15.55	647.0	704.2
2.12	11.06	15.53	647.0	704.2
2.13	11.06	15.52	646.9	704.1
2.14	11.06	15.5	646.8	704.1
2.15	11.06	15.49	647.0	704.1
2.16	11.06	15.48	646.7	704.1
2.17	11.06	15.45	646.8	704.1
2.18	11.06	15.44	646.8	704.2
2.19	11.06	15.43	647.0	704.1
2.2	11.06	15.42	646.6	704.1
2.21	11.06	15.4	646.9	704.1
2.22	11.05	15.38	646.8	704.1
2.23	11.06	15.37	646.7	704.0
2.24	11.06	15.36	647.0	704.1
2.25	11.06	15.34	646.8	704.2
2.26	11.06	15.33	646.7	704.2
2.27	11.04	15.31	647.0	704.1
2.28	11.06	15.3	646.9	704.1
2.29	11.06	15.28	646.6	704.0
2.3	11.05	15.26	646.6	704.1
2.31	11.06	15.25	646.8	704.1
2.32	11.06	15.24	647.0	704.1
2.33	11.06	15.22	646.8	704.1
2.34	11.06	15.21	647.0	704.1
2.35	11.05	15.19	646.9	704.0
2.36	11.05	15.17	646.8	704.1
2.37	11.06	15.15	646.7	704.1
2.38	11.06	15.15	646.9	704.1
2.39	11.06	15.13	646.8	704.1
2.4	11.06	15.12	646.6	704.0
2.41	11.06	15.1	646.8	704.1
2.42	11.05	15.08	646.9	704.2
2.43	11.06	15.06	646.8	704.0
2.44	11.07	15.07	646.9	704.1
2.45	11.07	15.06	647.0	704.1
2.46	11.06	15.02	646.7	704.0
2.47	11.06	15.01	646.9	704.1
2.48	11.06	14.99	646.8	704.1
2.49	11.05	14.97	647.0	704.0
2.5	11.05	14.96	646.9	704.1
2.51	11.07	14.96	646.8	704.1
2.52	11.05	14.93	646.8	704.1
2.53	11.06	14.92	646.9	704.1
2.54	11.05	14.9	647.0	704.0
2.55	11.05	14.89	648.7	704.1
2.56	11.05	14.87	649.1	704.1
2.57	11.06	14.87	651.4	704.0
2.58	11.07	14.85	653.5	704.1
2.59	11.05	14.83	654.9	704.1
2.6	11.07	14.83	657.0	704.1
2.61	11.05	14.81	658.4	704.1
2.62	11.06	14.79	659.9	704.1
2.63	11.04	14.76	661.2	704.0
