t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	705.1	644.5
0.0	9.34	16.2	644.5	705.1
0.01	10.55	18.24	644.9	704.9
0.02	10.84	18.68	644.7	704.9
0.03	10.91	18.78	644.6	704.8
0.04	10.95	18.8	644.8	705.0
0.05	10.97	18.8	644.7	704.9
0.06	10.98	18.78	644.7	705.0
0.07	10.99	18.77	644.8	704.9
0.08	11.01	18.76	644.6	704.8
0.09	11.02	18.76	644.6	705.2
0.1	11.03	18.73	644.6	704.9
0.11	11.02	18.7	644.7	705.0
0.12	11.02	18.68	644.8	705.0
0.13	11.03	18.66	644.8	705.1
0.14	11.04	18.64	644.7	705.0
0.15	11.03	18.61	644.8	705.0
0.16	11.03	18.59	644.8	705.0
0.17	11.04	18.57	644.4	704.9
0.18	11.03	18.54	645.0	704.8
0.19	11.03	18.52	644.7	705.0
0.2	11.04	18.51	644.7	705.0
0.21	11.04	18.49	644.8	705.0
0.22	11.04	18.48	644.9	704.8
0.23	11.04	18.44	644.8	705.0
0.24	11.04	18.42	644.5	704.8
0.25	11.04	18.4	644.8	704.9
0.26	11.03	18.37	644.8	705.0
0.27	11.04	18.36	644.9	705.0
0.28	11.03	18.33	644.6	704.9
0.29	11.03	18.32	644.6	705.1
0.3	11.02	18.29	644.7	705.1
0.31	11.04	18.28	644.7	705.0
0.32	11.03	18.27	644.9	705.0
0.33	11.03	18.24	644.7	705.0
0.34	11.04	18.23	644.6	704.8
0.35	11.04	18.21	644.8	705.1
0.36	11.04	18.19	644.6	705.2
0.37	11.04	18.17	644.6	705.0
0.38	11.03	18.14	644.7	704.9
0.39	11.03	18.11	644.8	705.0
0.4	11.03	18.1	644.8	704.9
0.41	11.03	18.08	644.7	705.0
0.42	11.03	18.07	644.7	704.9
0.43	11.04	18.05	644.8	705.0
0.44	11.03	18.03	644.6	704.9
0.45	11.04	18.02	644.8	705.0
0.46	11.04	18.0	644.7	705.0
0.47	11.04	17.97	644.7	705.0
0.48	11.05	17.98	644.9	705.1
0.49	11.03	17.94	644.6	704.9
0.5	11.04	17.93	644.5	704.9
0.51	11.03	17.9	644.8	704.9
0.52	11.04	17.9	644.6	704.8
0.53	11.05	17.89	644.8	704.9
0.54	11.04	17.86	644.7	705.0
0.55	11.03	17.84	644.7	705.1
0.56	11.04	17.83	644.7	705.0
0.57	11.03	17.8	644.7	705.0
0.58	11.03	17.78	644.8	705.0
0.59	11.02	17.76	644.6	705.1
0.6	11.03	17.75	644.7	705.1
0.61	11.04	17.74	645.0	704.8
0.62	11.04	17.73	644.6	705.0
0.63	11.03	17.7	644.7	705.0
0.64	11.04	17.68	644.8	705.1
0.65	11.04	17.67	644.8	705.1
0.66	11.03	17.65	644.6	705.0
0.67	11.04	17.63	644.6	705.1
0.68	11.05	17.63	644.7	705.1
0.69	11.04	17.61	644.6	704.8
0.7	11.04	17.58	644.7	704.9
0.71	11.04	17.56	644.5	705.0
0.72	11.04	17.54	644.7	705.0
0.73	11.03	17.52	644.8	705.0
0.74	11.06	17.54	644.8	705.1
0.75	11.04	17.5	644.8	705.0
0.76	11.04	17.48	644.7	705.0
0.77	11.03	17.46	644.7	704.9
0.78	11.04	17.44	644.7	705.0
0.79	11.03	17.42	644.9	705.0
0.8	11.05	17.43	644.6	704.9
0.81	11.03	17.38	644.9	705.0
0.82	11.03	17.37	644.5	705.0
0.83	11.03	17.35	644.8	705.2
0.84	11.04	17.36	644.8	704.8
0.85	11.04	17.33	644.6	704.9
0.86	11.03	17.31	644.6	705.1
0.87	11.04	17.29	644.6	705.2
0.88	11.04	17.28	644.8	705.0
0.89	11.05	17.28	644.9	704.9
0.9	11.03	17.24	644.7	705.1
0.91	11.04	17.24	644.8	704.8
0.92	11.04	17.22	644.6	704.9
0.93	11.04	17.18	644.7	705.2
0.94	11.03	17.19	644.8	704.9
0.95	11.04	17.16	644.7	704.8
0.96	11.03	17.14	644.7	705.0
0.97	11.04	17.13	644.8	705.3
0.98	11.05	17.14	644.8	705.0
0.99	11.05	17.11	644.8	704.9
1.0	11.04	17.09	644.7	705.0
1.01	11.05	17.08	644.8	704.8
1.02	11.04	17.06	644.6	705.3
1.03	11.03	17.03	644.6	704.8
