t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	685.7	649.9
0.0	9.36	15.78	649.9	685.7
0.01	10.57	17.76	649.6	685.6
0.02	10.85	18.19	649.9	685.6
0.03	10.94	18.28	649.6	685.5
0.04	10.98	18.31	649.8	685.6
0.05	10.99	18.3	649.8	685.6
0.06	11.0	18.29	649.7	685.7
0.07	11.03	18.27	649.8	685.6
0.08	11.03	18.26	649.7	685.6
0.09	11.05	18.26	649.7	685.6
0.1	11.05	18.23	649.5	685.5
0.11	11.05	18.21	649.9	685.6
0.12	11.05	18.18	649.7	685.6
0.13	11.06	18.16	649.8	685.6
0.14	11.06	18.15	649.9	685.6
0.15	11.06	18.12	649.8	685.7
0.16	11.05	18.09	649.9	685.7
0.17	11.05	18.07	649.8	685.6
0.18	11.06	18.05	649.8	685.6
0.19	11.06	18.03	649.7	685.6
0.2	11.06	18.02	649.6	685.7
0.21	11.07	18.0	649.7	685.6
0.22	11.06	17.99	649.8	685.6
0.23	11.07	17.96	649.8	685.5
0.24	11.06	17.94	649.8	685.5
0.25	11.06	17.92	649.9	685.5
0.26	11.05	17.89	649.6	685.7
0.27	11.06	17.88	650.0	685.5
0.28	11.05	17.85	650.0	685.6
0.29	11.06	17.84	649.7	685.7
0.3	11.05	17.82	649.6	685.6
0.31	11.06	17.8	649.9	685.5
0.32	11.06	17.79	649.8	685.6
0.33	11.06	17.77	649.7	685.5
0.34	11.07	17.76	650.0	685.6
0.35	11.06	17.74	649.7	685.6
0.36	11.07	17.72	650.0	685.6
0.37	11.06	17.7	649.8	685.6
0.38	11.06	17.67	649.8	685.5
0.39	11.05	17.65	649.7	685.6
0.4	11.06	17.64	650.0	685.6
0.41	11.06	17.62	649.8	685.6
0.42	11.05	17.6	649.8	685.6
0.43	11.06	17.59	650.0	685.5
0.44	11.06	17.57	649.8	685.5
0.45	11.06	17.56	650.0	685.5
0.46	11.06	17.54	649.8	685.5
0.47	11.06	17.52	649.7	685.5
0.48	11.07	17.52	649.8	685.6
0.49	11.06	17.48	649.7	685.7
0.5	11.05	17.47	650.0	685.6
0.51	11.05	17.45	649.8	685.5
0.52	11.07	17.45	649.9	685.5
0.53	11.07	17.44	649.7	685.5
0.54	11.07	17.42	649.6	685.6
0.55	11.05	17.39	649.6	685.6
0.56	11.06	17.39	649.9	685.5
0.57	11.05	17.36	649.8	685.6
0.58	11.05	17.34	649.8	685.6
0.59	11.05	17.32	649.8	685.6
0.6	11.05	17.31	649.8	685.6
0.61	11.05	17.31	649.9	685.5
0.62	11.07	17.29	649.6	685.6
0.63	11.06	17.26	649.9	685.6
0.64	11.05	17.25	649.9	685.5
0.65	11.06	17.24	649.8	685.6
0.66	11.07	17.22	649.8	685.6
0.67	11.06	17.2	649.9	685.5
0.68	11.07	17.2	649.8	685.6
0.69	11.06	17.18	649.6	685.6
0.7	11.05	17.15	649.8	685.6
0.71	11.06	17.14	649.7	685.6
0.72	11.06	17.12	649.7	685.6
0.73	11.07	17.1	649.9	685.5
0.74	11.07	17.12	649.7	685.6
0.75	11.08	17.08	649.9	685.7
0.76	11.06	17.06	649.6	685.6
0.77	11.06	17.04	649.7	685.5
0.78	11.06	17.03	649.8	685.5
0.79	11.06	17.01	649.8	685.6
0.8	11.07	17.02	649.8	685.6
0.81	11.06	16.98	649.9	685.6
0.82	11.05	16.96	649.9	685.5
0.83	11.05	16.94	649.7	685.5
0.84	11.07	16.95	649.9	685.6
0.85	11.07	16.92	649.8	685.5
0.86	11.06	16.9	649.8	685.8
0.87	11.06	16.89	650.0	685.6
0.88	11.06	16.88	649.8	685.7
0.89	11.07	16.87	649.7	685.7
0.9	11.06	16.84	649.8	685.5
0.91	11.07	16.83	649.9	685.5
0.92	11.06	16.82	649.9	685.6
0.93	11.06	16.78	649.9	685.5
0.94	11.06	16.79	649.9	685.5
0.95	11.06	16.76	649.9	685.6
0.96	11.05	16.74	649.7	685.6
0.97	11.07	16.74	649.8	685.6
0.98	11.08	16.74	649.7	685.6
0.99	11.06	16.71	649.7	685.7
1.0	11.06	16.69	649.9	685.6
1.01	11.07	16.69	649.7	685.6
1.02	11.06	16.66	649.9	685.5
1.03	11.05	16.64	649.7	685.6
1.04	11.06	16.63	649.8	685.6
1.05	11.06	16.63	649.7	685.7
1.06	11.06	16.6	649.8	685.6
1.07	11.05	16.59	649.8	685.6
1.08	11.05	16.57	649.7	685.5
1.09	11.06	16.56	649.8	685.6
1.1	11.07	16.57	650.1	685.6
1.11	11.06	16.54	649.7	685.6
1.12	11.05	16.51	649.8	685.6
1.13	11.05	16.5	649.8	685.6
1.14	11.04	16.47	650.0	685.6
1.15	11.06	16.48	649.8	685.6
1.16	11.06	16.46	650.0	685.6
1.17	11.07	16.47	650.0	685.5
1.18	11.07	16.45	649.7	685.5
1.19	11.06	16.43	649.6	685.5
1.2	11.07	16.42	649.8	685.6
1.21	11.05	16.39	649.8	685.5
1.22	11.05	16.36	649.7	685.5
1.23	11.05	16.36	649.7	685.6
1.24	11.05	16.34	650.0	685.5
1.25	11.05	16.32	649.8	685.6
1.26	11.05	16.31	649.7	685.7
1.27	11.05	16.29	649.9	685.6
1.28	11.06	16.29	649.8	685.6
1.29	11.06	16.27	649.6	685.6
1.3	11.06	16.25	649.6	685.6
1.31	11.05	16.24	650.0	685.6
1.32	11.05	16.22	649.7	685.6
1.33	11.04	16.21	649.9	685.7
1.34	11.06	16.2	649.8	685.6
1.35	11.06	16.19	650.0	685.5
1.36	11.07	16.19	649.7	685.6
1.37	11.07	16.17	649.9	685.6
1.38	11.06	16.15	649.8	685.5
1.39	11.04	16.12	649.9	685.5
1.4	11.05	16.1	649.8	685.6
1.41	11.07	16.11	649.9	685.7
1.42	11.07	16.11	649.9	685.6
1.43	11.06	16.08	649.8	685.7
1.44	11.05	16.07	649.8	685.7
1.45	11.06	16.04	649.9	685.6
1.46	11.06	16.04	649.7	685.5
1.47	11.06	16.02	649.9	685.5
1.48	11.06	16.02	649.8	685.5
1.49	11.06	15.99	649.8	685.6
1.5	11.05	15.96	649.8	685.5
1.51	11.07	15.97	649.9	685.6
1.52	11.06	15.95	649.7	685.6
1.53	11.06	15.93	649.9	685.5
1.54	11.06	15.92	649.8	685.6
1.55	11.05	15.91	650.0	685.6
1.56	11.06	15.88	649.7	685.6
1.57	11.06	15.88	649.6	685.6
1.58	11.06	15.87	650.0	685.5
1.59	11.06	15.85	650.0	685.6
1.6	11.07	15.84	649.8	685.7
1.61	11.05	15.82	649.7	685.5
1.62	11.08	15.83	650.0	685.6
1.63	11.06	15.8	649.8	685.6
1.64	11.07	15.79	649.8	685.5
1.65	11.07	15.78	649.8	685.5
1.66	11.06	15.76	649.8	685.5
1.67	11.05	15.75	649.8	685.5
1.68	11.06	15.73	650.0	685.6
1.69	11.06	15.71	649.8	685.6
1.7	11.05	15.69	649.8	685.6
1.71	11.06	15.68	649.9	685.5
1.72	11.07	15.68	649.8	685.5
1.73	11.06	15.66	650.2	685.5
1.74	11.07	15.64	649.7	685.7
1.75	11.05	15.62	649.7	685.6
1.76	11.06	15.61	650.1	685.6
1.77	11.07	15.6	649.6	685.6
1.78	11.06	15.58	650.1	685.6
1.79	11.05	15.57	649.9	685.5
1.8	11.06	15.56	650.0	685.6
1.81	11.05	15.54	650.0	685.6
1.82	11.07	15.54	649.7	685.6
1.83	11.06	15.51	649.7	685.6
1.84	11.06	15.49	649.9	685.5
