t[s]	U[V]	I[A]	Piro[C]	TC[C]
1.57	11.02	16.25	697.8	642.7
1.58	11.02	16.24	697.8	642.1
1.59	11.03	16.23	697.7	642.6
1.6	11.03	16.22	697.8	642.4
1.61	11.02	16.19	697.7	642.4
1.62	11.04	16.2	697.8	642.3
1.63	11.04	16.17	697.7	642.8
1.64	11.04	16.16	697.7	642.1
1.65	11.03	16.15	697.7	642.3
1.66	11.03	16.13	697.9	642.5
1.67	11.04	16.11	697.8	642.6
1.68	11.03	16.09	697.8	642.4
1.69	11.04	16.07	697.8	642.4
1.7	11.03	16.06	697.9	642.4
1.71	11.03	16.05	697.7	642.4
1.72	11.04	16.05	697.8	642.5
1.73	11.03	16.02	697.6	642.3
1.74	11.02	16.0	697.7	642.5
1.75	11.02	15.98	697.5	642.5
1.76	11.03	15.97	697.6	642.3
1.77	11.03	15.96	697.9	642.8
1.78	11.02	15.94	697.8	642.5
1.79	11.02	15.93	697.8	642.4
1.8	11.03	15.92	697.7	642.3
1.81	11.02	15.9	697.8	642.4
1.82	11.04	15.9	697.8	642.3
1.83	11.02	15.87	697.8	642.6
1.84	11.02	15.85	697.8	642.6
1.85	11.03	15.85	697.7	642.6
1.86	11.02	15.82	697.6	642.7
1.87	11.02	15.81	697.8	642.5
1.88	11.03	15.8	697.8	642.5
1.89	11.02	15.78	697.6	642.4
1.9	11.04	15.78	697.7	642.5
1.91	11.02	15.75	697.8	642.5
1.92	11.03	15.74	697.5	642.4
1.93	11.02	15.72	697.8	642.4
1.94	11.03	15.7	697.8	642.3
1.95	11.02	15.69	697.8	642.4
1.96	11.03	15.67	697.9	642.7
1.97	11.02	15.65	697.7	642.4
1.98	11.03	15.64	697.7	642.6
1.99	11.03	15.63	697.7	642.6
2.0	11.02	15.61	697.7	642.3
2.01	11.03	15.61	697.8	642.4
2.02	11.03	15.58	697.7	642.7
2.03	11.02	15.57	697.7	642.3
2.04	11.03	15.55	697.8	642.4
2.05	11.02	15.54	697.8	642.5
2.06	11.02	15.52	697.7	642.5
2.07	11.02	15.5	697.7	642.5
2.08	11.04	15.51	697.8	642.8
2.09	11.02	15.48	697.8	642.4
2.1	11.02	15.46	697.9	642.9
2.11	11.03	15.45	697.8	642.7
2.12	11.02	15.43	697.7	642.4
2.13	11.03	15.42	697.9	642.4
2.14	11.02	15.4	697.7	642.4
2.15	11.02	15.39	697.9	642.5
2.16	11.03	15.38	697.6	642.6
2.17	11.03	15.35	697.6	642.4
2.18	11.03	15.34	697.8	642.3
2.19	11.04	15.33	698.0	642.6
2.2	11.03	15.32	697.7	642.5
2.21	11.03	15.3	697.8	642.5
2.22	11.03	15.28	697.9	642.3
2.23	11.04	15.27	697.7	642.6
2.24	11.03	15.26	697.9	642.6
2.25	11.04	15.24	697.6	642.4
2.26	11.03	15.23	697.9	642.3
2.27	11.03	15.21	697.7	642.5
2.28	11.03	15.2	697.8	642.4
2.29	11.03	15.18	697.8	642.4
2.3	11.02	15.16	697.8	642.4
2.31	11.03	15.15	697.7	642.4
2.32	11.03	15.14	697.6	642.3
2.33	11.03	15.13	697.8	642.6
2.34	11.03	15.11	697.7	642.5
2.35	11.02	15.09	697.8	642.3
2.36	11.01	15.07	697.7	642.4
2.37	11.02	15.05	697.6	642.2
2.38	11.03	15.05	697.7	642.2
2.39	11.03	15.04	697.7	642.7
2.4	11.05	15.02	697.8	642.6
2.41	11.03	15.0	698.0	642.4
2.42	11.02	14.98	697.8	642.5
2.43	11.03	14.96	697.8	642.6
2.44	11.04	14.97	697.8	642.7
2.45	11.04	14.96	697.7	642.4
2.46	11.02	14.92	697.7	642.4
2.47	11.03	14.91	697.7	642.7
2.48	11.03	14.89	697.6	642.6
2.49	11.03	14.87	697.7	642.2
2.5	11.03	14.86	697.8	642.4
2.51	11.03	14.86	697.7	642.4
2.52	11.04	14.83	697.8	642.5
2.53	11.03	14.82	697.7	642.3
2.54	11.03	14.8	697.7	642.3
2.55	11.03	14.79	697.8	642.6
2.56	11.03	14.77	697.9	642.5
2.57	11.03	14.77	697.6	642.6
2.58	11.04	14.75	697.6	642.5
2.59	11.02	14.73	697.9	642.4
2.6	11.03	14.73	697.8	642.6
2.61	11.03	14.7	697.9	642.3
2.62	11.03	14.69	697.8	642.4
2.63	11.02	14.66	697.8	642.4
2.64	11.02	14.65	697.8	642.7
2.65	11.02	14.65	697.9	642.7
2.66	11.05	14.64	697.8	642.5
2.67	11.04	14.62	697.8	642.3
2.68	11.03	14.6	697.8	642.7
2.69	11.03	14.58	697.6	642.2
2.7	11.04	14.57	697.6	642.7
2.71	11.02	14.55	697.9	642.5
2.72	11.03	14.53	697.9	642.6
2.73	11.02	14.52	698.0	642.4
2.74	11.03	14.5	697.7	643.0
2.75	11.04	14.5	697.7	644.5
