t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	646.9	704.1
0.0	9.36	16.27	704.1	646.9
0.01	10.57	18.31	704.1	646.8
0.02	10.86	18.76	704.1	646.6
0.03	10.94	18.86	704.0	646.5
0.04	10.97	18.89	704.1	647.0
0.05	11.0	18.88	704.1	646.8
0.06	11.01	18.87	704.0	646.8
0.07	11.02	18.86	704.1	646.9
0.08	11.03	18.86	704.2	646.9
0.09	11.05	18.85	704.1	646.8
0.1	11.04	18.83	704.0	647.0
0.11	11.05	18.8	704.2	646.8
0.12	11.04	18.78	704.1	646.6
0.13	11.04	18.76	704.1	646.7
0.14	11.06	18.75	704.1	646.6
0.15	11.05	18.72	704.1	646.7
0.16	11.05	18.69	704.1	646.7
0.17	11.06	18.67	704.2	647.0
0.18	11.04	18.64	704.2	646.6
0.19	11.05	18.63	704.0	646.9
0.2	11.06	18.61	704.1	646.8
0.21	11.06	18.6	704.1	646.9
0.22	11.07	18.59	704.1	647.0
0.23	11.06	18.56	704.1	646.8
0.24	11.05	18.54	704.2	646.7
0.25	11.07	18.52	704.1	646.8
0.26	11.05	18.49	704.1	646.6
0.27	11.07	18.48	704.2	646.8
0.28	11.05	18.45	704.1	646.6
0.29	11.06	18.44	704.0	646.6
0.3	11.05	18.41	704.1	646.8
0.31	11.07	18.4	704.1	646.7
0.32	11.06	18.39	704.1	647.0
0.33	11.06	18.37	704.2	646.9
0.34	11.05	18.36	704.1	646.8
0.35	11.07	18.34	704.0	646.7
0.36	11.06	18.32	704.1	646.9
0.37	11.06	18.3	704.2	646.8
0.38	11.06	18.27	704.1	646.9
0.39	11.05	18.25	704.0	646.6
0.4	11.04	18.23	704.0	646.8
0.41	11.06	18.21	704.0	646.7
0.42	11.04	18.2	704.1	646.9
0.43	11.05	18.19	704.1	646.7
0.44	11.05	18.17	704.1	646.9
0.45	11.05	18.16	704.1	646.6
0.46	11.05	18.14	704.1	646.8
0.47	11.05	18.11	704.1	646.9
0.48	11.07	18.12	704.2	646.6
0.49	11.05	18.08	704.1	646.9
0.5	11.06	18.07	704.0	646.9
0.51	11.04	18.04	704.1	646.8
0.52	11.06	18.04	704.1	646.8
0.53	11.06	18.03	704.2	646.8
0.54	11.06	18.01	704.2	646.9
0.55	11.05	17.99	704.1	646.8
0.56	11.06	17.98	704.1	646.7
0.57	11.05	17.95	704.2	646.9
0.58	11.05	17.92	704.2	646.8
0.59	11.05	17.91	704.1	646.6
0.6	11.07	17.9	704.2	646.9
0.61	11.06	17.89	704.0	646.8
0.62	11.05	17.88	704.1	646.8
0.63	11.05	17.85	704.1	646.8
0.64	11.05	17.84	704.1	646.9
0.65	11.05	17.82	704.1	646.8
0.66	11.05	17.8	704.0	646.8
0.67	11.05	17.79	704.2	646.9
0.68	11.06	17.79	704.2	646.8
0.69	11.06	17.76	704.1	646.8
0.7	11.05	17.73	704.1	646.7
0.71	11.04	17.72	704.2	646.7
0.72	11.06	17.7	704.0	646.8
0.73	11.05	17.68	704.2	646.6
0.74	11.07	17.7	704.3	646.8
0.75	11.06	17.66	704.1	646.7
0.76	11.06	17.64	704.1	646.8
0.77	11.05	17.62	704.1	646.9
0.78	11.06	17.6	704.2	646.7
0.79	11.07	17.58	704.1	646.8
0.8	11.07	17.59	704.2	647.1
0.81	11.05	17.55	704.1	646.7
0.82	11.05	17.53	704.1	646.7
0.83	11.06	17.51	704.1	647.0
0.84	11.07	17.52	704.0	646.7
0.85	11.06	17.49	704.0	646.6
0.86	11.06	17.47	704.1	646.9
0.87	11.06	17.46	704.1	646.8
0.88	11.05	17.44	704.1	646.8
0.89	11.07	17.44	704.1	646.7
0.9	11.05	17.4	704.2	647.0
0.91	11.06	17.4	704.0	646.7
0.92	11.06	17.38	704.1	646.9
0.93	11.04	17.34	704.1	646.9
0.94	11.06	17.35	704.1	646.8
0.95	11.06	17.32	704.2	646.7
0.96	11.05	17.3	704.1	646.8
0.97	11.06	17.29	704.2	646.8
0.98	11.06	17.29	704.2	646.6
0.99	11.06	17.26	704.1	647.0
1.0	11.06	17.24	704.2	646.7
1.01	11.06	17.24	704.0	646.8
1.02	11.05	17.21	704.2	646.9
1.03	11.05	17.18	704.2	646.6
1.04	11.05	17.18	704.1	646.8
1.05	11.06	17.17	704.1	646.8
1.06	11.05	17.15	704.2	646.9
1.07	11.06	17.13	704.1	646.9
1.08	11.06	17.11	704.0	646.8
1.09	11.05	17.1	704.3	646.7
1.1	11.08	17.11	704.1	646.9
1.11	11.07	17.08	704.1	646.8
1.12	11.05	17.05	704.2	646.8
1.13	11.05	17.03	704.1	647.0
1.14	11.04	17.01	704.2	646.8
1.15	11.06	17.02	704.1	646.9
1.16	11.06	17.0	704.2	646.8
1.17	11.07	17.0	704.1	646.8
1.18	11.07	16.98	704.0	646.8
1.19	11.06	16.96	704.1	647.2
1.2	11.07	16.95	704.1	646.8
1.21	11.05	16.92	704.1	646.8
1.22	11.04	16.89	704.1	646.7
1.23	11.05	16.89	704.2	647.0
1.24	11.05	16.86	704.0	646.8
1.25	11.04	16.84	704.0	646.8
1.26	11.06	16.83	704.1	646.8
1.27	11.04	16.81	704.0	646.9
1.28	11.05	16.81	704.1	647.1
1.29	11.05	16.79	704.1	646.9
1.3	11.06	16.77	704.0	646.8
1.31	11.05	16.76	704.1	646.7
1.32	11.05	16.73	704.1	646.8
1.33	11.05	16.72	704.1	646.6
1.34	11.05	16.71	704.0	646.8
1.35	11.06	16.7	704.0	646.7
1.36	11.08	16.71	704.1	646.9
1.37	11.06	16.68	704.2	646.8
1.38	11.06	16.66	704.1	646.7
1.39	11.05	16.63	704.1	646.7
1.4	11.04	16.61	704.1	646.9
1.41	11.05	16.61	704.0	646.8
1.42	11.07	16.61	704.2	647.0
1.43	11.06	16.59	704.2	647.0
1.44	11.06	16.57	704.2	646.8
1.45	11.06	16.54	704.0	646.7
1.46	11.06	16.55	704.2	646.8
1.47	11.05	16.52	704.1	646.8
1.48	11.06	16.52	704.2	647.0
1.49	11.06	16.49	704.1	646.8
1.5	11.05	16.46	704.1	646.8
1.51	11.06	16.46	704.2	647.0
1.52	11.05	16.44	704.0	646.9
1.53	11.05	16.42	704.1	647.0
1.54	11.05	16.41	704.1	647.0
1.55	11.06	16.4	704.1	646.8
1.56	11.04	16.37	704.1	646.8
1.57	11.05	16.36	704.1	646.8
1.58	11.05	16.35	704.1	647.1
1.59	11.06	16.34	704.2	646.9
1.6	11.06	16.33	704.2	646.8
1.61	11.06	16.3	704.0	647.1
1.62	11.06	16.31	704.0	646.9
1.63	11.06	16.28	704.0	647.0
1.64	11.06	16.27	704.1	647.0
1.65	11.07	16.26	704.1	646.9
1.66	11.06	16.24	704.1	646.6
1.67	11.06	16.22	704.0	646.7
1.68	11.06	16.2	704.2	646.8
1.69	11.05	16.18	704.2	646.9
1.7	11.05	16.17	704.2	646.8
1.71	11.05	16.15	704.2	646.8
1.72	11.07	16.16	704.0	647.0
1.73	11.06	16.13	704.0	646.7
1.74	11.05	16.11	704.2	646.8
1.75	11.05	16.09	704.1	647.1
1.76	11.05	16.08	704.1	646.9
1.77	11.06	16.07	704.1	646.9
1.78	11.05	16.04	704.1	646.8
1.79	11.05	16.03	704.1	646.8
1.8	11.05	16.02	704.1	646.7
1.81	11.05	16.0	704.0	646.7
1.82	11.06	16.0	704.1	646.6
1.83	11.06	15.97	704.2	646.9
1.84	11.06	15.95	704.2	646.9
1.85	11.06	15.95	704.2	646.8
1.86	11.05	15.92	704.2	646.9
1.87	11.05	15.91	704.0	646.6
1.88	11.06	15.9	704.1	647.0
1.89	11.06	15.88	704.0	647.0
1.9	11.08	15.88	704.1	646.7
1.91	11.05	15.85	704.2	646.7
1.92	11.06	15.84	704.1	647.0
1.93	11.05	15.82	704.1	646.9
1.94	11.05	15.8	704.2	646.8
1.95	11.06	15.79	704.1	646.8
1.96	11.06	15.77	704.2	646.8
1.97	11.05	15.75	704.1	646.9
1.98	11.05	15.74	704.0	646.7
1.99	11.06	15.73	704.1	647.0
2.0	11.05	15.71	704.2	646.8
2.01	11.06	15.7	704.0	647.0
2.02	11.06	15.68	704.0	646.7
2.03	11.05	15.67	704.1	646.9
2.04	11.05	15.65	704.0	646.8
2.05	11.05	15.64	704.1	646.8
2.06	11.06	15.62	704.1	646.8
2.07	11.04	15.6	704.1	646.6
2.08	11.07	15.61	704.0	647.1
2.09	11.06	15.58	704.0	646.8
2.1	11.05	15.56	704.0	646.6
2.11	11.06	15.55	704.2	647.0
2.12	11.06	15.53	704.2	647.0
